ve_ref,value,tags
1.55.t4,φρεσὶ,GBP.
1.55.t5,θῆκε,Aor2.;Ind1.;Act1.
1.55.t6,θεὰ,Agr.
1.55.t7,λευκώλενος,Agr.
1.55.t8,Ἥρη,Nom1.
1.56.t1,κήδετο,Impf1.;Ind1.;Mid5.
1.56.t2,γὰρ,
1.56.t3,Δαναῶν,Gen17.
1.56.t4,ὅτι,
1.56.t5,ῥα,
1.56.t6,θνήσκοντας,Pres6.;Partic4.;Act1.;Acc8.
1.56.t7,ὁρᾶτο,Impf1.;Ind7.;Mid5.
1.57.t1,οἳ,Nom1.
1.57.t2,δ',
1.57.t3,ἐπεὶ,
1.57.t4,οὖν,
1.57.t5,ἤγερθεν,Aor2.
1.57.t6,ὁμηγερέες,Nom2.
1.57.t7,τε,
1.57.t8,γένοντο,Aor2.;Mid.
1.58.t1,τοῖσι,Dat12.
1.58.t2,δ',
1.58.t3,ἀνιστάμενος,
1.58.t4,μετέφη,Imperf.
1.58.t5,πόδας,Acc4.
1.58.t6,ὠκὺς,Agr.
1.58.t7,Ἀχιλλεύς,Nom1.
1.59.t1,Ἀτρεΐδη,Voc1.
1.59.t2,νῦν,
1.59.t3,ἄμμε,Acc3.
1.59.t4,παλιμπλαγχθέντας,Agr.
1.59.t5,ὀΐω,Pres.
1.60.t1,ἂψ,
1.60.t2,ἀπονοστήσειν,Perf.;Inf2.
1.60.t3,εἴ,
1.60.t4,κεν,
1.60.t5,θάνατόν,Acc1.
1.60.t6,γε,
1.60.t7,φύγοιμεν,Aor12.;Opt.
1.61.t1,εἰ,
1.61.t2,δὴ,
1.61.t3,ὁμοῦ,
1.61.t4,πόλεμός,Nom1.
1.61.t5,τε,
1.61.t6,δαμᾷ,Fut.
1.61.t7,καὶ,
1.61.t8,λοιμὸς,Nom1.
1.61.t9,Ἀχαιούς,Acc1.
1.62.t1,ἀλλ',
1.62.t2,ἄγε,
1.62.t3,δή,
1.62.t4,τινα,Agr.
1.62.t5,μάντιν,Acc1.
1.62.t6,ἐρείομεν,Pres.;Subj1.
1.62.t7,ἢ,
1.62.t8,ἱερῆα,Acc1.
1.63.t1,ἢ,
1.63.t2,καὶ,
1.63.t3,ὀνειροπόλον,Acc1.
1.63.t4,καὶ,
1.63.t5,γάρ,
1.63.t6,τ',
1.63.t7,ὄναρ,Nom1.
1.63.t8,ἐκ,Prep1.
1.63.t9,Διός,GBP.
1.63.t10,ἐστιν,Pres.
1.64.t1,ὅς,Nom1.
1.64.t2,κ',
1.64.t3,εἴποι,Aor12.;Opt.
1.64.t4,ὅ,
1.64.t5,τι,Acc11.
1.64.t6,τόσσον,Acc8.
1.64.t7,ἐχώσατο,Aor1.;Mid.
1.64.t8,Φοῖβος,Agr.
1.64.t9,Ἀπόλλων,Nom1.
1.65.t1,εἴτ',
1.65.t2,ἄρ',
1.65.t3,ὅ,Nom1.
1.65.t4,γ',
1.65.t5,εὐχωλῆς,Gen17.
1.65.t6,ἐπιμέμφεται,
1.65.t7,ἠδ',
1.65.t8,ἑκατόμβης,Gen17.
1.66.t1,αἴ,
1.66.t2,κέν,
1.66.t3,πως,
1.66.t4,ἀρνῶν,Gen1.
1.66.t5,κνίσης,Gen10.
1.66.t6,αἰγῶν,Gen1.
1.66.t7,τε,
1.66.t8,τελείων,Agr.
1.67.t1,βούλεται,Pres6.;Subj.;Mid.
1.67.t2,ἀντιάσας,
1.67.t3,ἡμῖν,Dat3.
1.67.t4,ἀπὸ,
1.67.t5,λοιγὸν,Acc1.
1.67.t6,ἀμῦναι,Aor12.;Infin.
1.68.t1,ἤτοι,
1.68.t2,ὅ,Nom1.
1.68.t3,γ',
1.68.t4,ὣς,
1.68.t5,εἰπὼν,
1.68.t6,κατ',
1.68.t7,ἄρ',
1.68.t8,ἕζετο,Impf1.;Mid.
1.68.t9,τοῖσι,Dat12.
1.68.t10,δ',
1.68.t11,ἀνέστη,Aor.
1.69.t1,Κάλχας,Nom1.
1.69.t2,Θεστορίδης,Agr.
1.69.t3,οἰωνοπόλων,Gen13.
1.69.t4,ὄχ',
1.69.t5,ἄριστος,Agr.
1.70.t1,ὃς,Nom1.
1.70.t2,ᾔδη,Pluperf.
1.70.t3,τά,Acc1.
1.70.t4,τ',
1.70.t5,ἐόντα,Agr.
1.70.t6,τά,Acc1.
1.70.t7,τ',
1.70.t8,ἐσσόμενα,Agr.
1.70.t9,πρό,
1.70.t10,τ',
1.70.t11,ἐόντα,Agr.
1.71.t1,καὶ,
1.71.t2,νήεσσ',Dat1.
1.71.t3,ἡγήσατ',Aor.;Mid.
1.71.t4,Ἀχαιῶν,Gen1.
1.71.t5,Ἴλιον,GBP.
1.71.t6,εἴσω,Prep3.
1.72.t1,ἣν,Agr.
1.72.t2,διὰ,Prep1.
1.72.t3,μαντοσύνην,GBP.
1.72.t4,τήν,Acc1.
1.72.t5,οἱ,Dat1.
1.72.t6,πόρε,Aor.
1.72.t7,Φοῖβος,Agr.
1.72.t8,Ἀπόλλων,Nom1.
1.73.t1,ὅ,Nom1.
1.73.t2,σφιν,Dat12.
1.73.t3,ἐὺ,
1.73.t4,φρονέων,Agr.
1.73.t5,ἀγορήσατο,Aor.;Mid6.
1.73.t6,καὶ,
1.73.t7,μετέειπεν,Aor.
1.74.t1,ὦ,
1.74.t2,Ἀχιλεῦ,Voc1.
1.74.t3,κέλεαί,Pres6.;Mid.
1.74.t4,με,Acc1.
1.74.t5,Διῒ,Dat14.
1.74.t6,φίλε,Voc1.
1.74.t7,μυθήσασθαι,Aor12.;Inf2.;Mid.
1.75.t1,μῆνιν,Acc1.
1.75.t2,Ἀπόλλωνος,Gen7.
1.75.t3,ἑκατηβελέταο,Agr.
1.75.t4,ἄνακτος,Agr.
1.76.t1,τοὶ,Dat1.
1.76.t2,γὰρ,
1.76.t3,ἐγὼν,Nom1.
1.76.t4,ἐρέω,Fut.
1.76.t5,σὺ,Nom1.
1.76.t6,δὲ,
1.76.t7,σύνθεο,Aor12.;Impr1.;Mid.
1.76.t8,καί,
1.76.t9,μοι,Dat1.
1.76.t10,ὄμοσσον,Aor12.;Impr1.
1.77.t1,ἦ,
1.77.t2,μέν,
1.77.t3,μοι,Dat1.
1.77.t4,πρόφρων,Agr.
1.77.t5,ἔπεσιν,Dat6.
1.77.t6,καὶ,
1.77.t7,χερσὶν,Dat6.
1.77.t8,ἀρήξειν,Future.;Inf2.
1.78.t1,ἦ,
1.78.t2,γὰρ,
1.78.t3,ὀΐομαι,Pres6.;Mid.
1.78.t4,ἄνδρα,Acc1.
1.78.t5,χολωσέμεν,Future.;Inf2.
1.78.t6,ὃς,Nom1.
1.78.t7,μέγα,Acc8.
1.78.t8,πάντων,Agr.
1.79.t1,Ἀργείων,Gen10.
1.79.t2,κρατέει,Pres.
1.79.t3,καί,
1.79.t4,οἱ,Dat1.
1.79.t5,πείθονται,Pres.;Mid.
1.79.t6,Ἀχαιοί,Nom1.
1.80.t1,κρείσσων,Nom2.
1.80.t2,γὰρ,
1.80.t3,βασιλεὺς,Nom1.
1.80.t4,ὅτε,
1.80.t5,χώσεται,Aor12.;Subj7.;Mid.
1.80.t6,ἀνδρὶ,Dat9.
1.80.t7,χέρηϊ,Agr.
1.81.t1,εἴ,
1.81.t2,περ,
1.81.t3,γάρ,
1.81.t4,τε,
1.81.t5,χόλον,Acc1.
1.81.t6,γε,
1.81.t7,καὶ,
1.81.t8,αὐτῆμαρ,
1.81.t9,καταπέψῃ,Aor12.;Subj7.
1.82.t1,ἀλλά,
1.82.t2,τε,
1.82.t3,καὶ,
1.82.t4,μετόπισθεν,
1.82.t5,ἔχει,Pres.
1.82.t6,κότον,Acc1.
1.82.t7,ὄφρα,
1.82.t8,τελέσσῃ,Aor12.;Subj7.
1.83.t1,ἐν,Prep3.
1.83.t2,στήθεσσιν,GBP.
1.83.t3,ἑοῖσι,Agr.
1.83.t4,σὺ,
1.83.t5,δὲ,
1.83.t6,φράσαι,Aor12.;Impr1.;Mid.
1.83.t7,εἴ,
1.83.t8,με,Acc1.
1.83.t9,σαώσεις,Aor12.;Subj7.
1.84.t1,τὸν,Acc1.
1.84.t2,δ',
1.84.t3,ἀπαμειβόμενος,Pres6.
1.84.t4,προσέφη,Impf1.
1.84.t5,πόδας,Acc4.
1.84.t6,ὠκὺς,Agr.
1.84.t7,Ἀχιλλεύς,Nom1.
1.85.t1,θαρσήσας,Aor12.
1.85.t2,μάλα,
1.85.t3,εἰπὲ,Aor12.;Impr1.
1.85.t4,θεοπρόπιον,Acc1.
1.85.t5,ὅ,Acc1.
1.85.t6,τι,Agr.
1.85.t7,οἶσθα,Perf.
1.86.t1,οὐ,
1.86.t2,μὰ,
1.86.t3,γὰρ,
1.86.t4,Ἀπόλλωνα,Acc9.
1.86.t5,Διῒ,Dat14.
1.86.t6,φίλον,Agr.
1.86.t7,ᾧ,Dat1.
1.86.t8,τε,
1.86.t9,σὺ,Nom1.
1.86.t10,Κάλχαν,Voc1.
1.87.t1,εὐχόμενος,Pres6.
1.87.t2,Δαναοῖσι,Dat1.
1.87.t3,θεοπροπίας,Acc1.
1.87.t4,ἀναφαίνεις,Pres.
1.88.t1,οὔ,
1.88.t2,τις,Nom1.
1.88.t3,ἐμεῦ,Agr.
1.88.t4,ζῶντος,Partic3.
1.88.t5,καὶ,
1.88.t6,ἐπὶ,Prep3.
1.88.t7,χθονὶ,GBP.
1.88.t8,δερκομένοιο,Partic3.
