μετάλλα,μεταλλάω,v2spma---,جویا شدن، پرسیدن,Ref=1.550|SpaceAfter=No
μεταξὺ,μεταξύ,d--------,در میان,Ref=1.156
μετατρέπῃ,μετατρέπομαι,v2spie---,اعتنا کردن، گردیدن,Ref=1.160
μετέφη,μετάφημι,v3siia---,گفتن، سخن‌ راندن,Ref=1.58
μεταφρασόμεσθα,μεταφράζω,v1pfim---,بازگویی کردن,Ref=1.140
μετέειπεν,μετεῖπον,v3saia---, گفتن,Ref=1.73|SpaceAfter=No
μετόπισθεν,μετόπισθε,d--------,از آن پس، پس,Ref=1.82
μή,μή,d--------,نه (منفی‌ساز),Ref=1.26
μὴν,μήν,g--------,بی‌شک، نیز,Ref=1.302
μῆνιν,μῆνις,n-s---fa-,غضب,Ref=1.1
μήνιε,μηνίω,v3siia---,غضب گرفتن,Ref=1.488
μῆρε,μῆρα,n-d---nn-,ران,Ref=1.464
μηρί',μηρία,n-p---na-,استخوان ران‌,Ref=1.40
μηροῦ,μηρός,n-s---mg-,ران,Ref=1.190
μήτε,μήτε,g--------,نه (منفی‌ساز),Ref=1.277
μήτηρ,μήτηρ,n-s---fn-,مادر,Ref=1.280|SpaceAfter=No
μητίετα,μητίετα,n-s---mn-,رای‌زن,Ref=1.175
μνήσασα,μιμνήσκω,v-sapafn-,به یاد آوردن,Ref=1.407
μιν,μιν,p-s---fa-,او ,Ref=1.29
μίνυνθά,μίνυνθα,d--------,کم‌عمر، کوتاه‌مدت,Ref=1.416
μινυνθάδιόν,μινυνθάδιος,a-s---ma-,کوته‌عمر,Ref=1.352
μίστυλλόν,μιστύλλω,v3piia---,تکه کردن,Ref=1.465
μόγησα,μογέω,v1saia---,زحمت کشیدن، رنج بردن,Ref=1.162|SpaceAfter=No
μοῖραν,μοῖρα,n-s---fa-,قسمت، حق,Ref=1.286
μολπῇ,μολπή,n-s---fd-,رقص,Ref=1.472
Μουσάων,Μοῦσα,n-p---fg-,میوز، موسا,Ref=1.604
μυθήσασθαι,μυθέομαι,v--ane---,سخن گفتن,Ref=1.291|SpaceAfter=No
μῦθον,μῦθος,n-s---ma-,فرمان، سخن، کلام,Ref=1.25
μυρί',μυρίος,a-p---na-,بی‌شمار,Ref=1.2
Μυρμιδόνων,Μυρμιδόνες,n-p---mg-,مورمیدون‌ها,Ref=1.328
ναὶ,ναί,d--------,به راستی که، قسم بر ,Ref=1.234
ναιόμενον,ναίω,v-sppena-,اقامت گزیدن، ساکن شدن,Ref=1.164
νηὸν,ναός,n-s---ma-,معبد,Ref=1.39
νῆας,ναῦς,n-p---fa-,ناو، کشتی,Ref=1.12
νεικεῖ,νεικέω,v3spia---,سرزنش کردن، پرخاش کردن,Ref=1.521|SpaceAfter=No
νέκταρ,νέκταρ,n-s---na-,نکتار,Ref=1.598
νεκύων,νέκυς,n-p---mg-,جسد,Ref=1.52
νέηαι,νέομαι,v2spse---,رفتن، بازگشتن,Ref=1.32|SpaceAfter=No
νεωτέρω,νέος,a-d---mnc,جوان,Ref=1.259
Νέστωρ,Νέστωρ,n-s---mn-,نستور,Ref=1.247
νεῦσε,νεύω,v3saia---,اشارت کردن، اشاره کردن,Ref=1.528
νεφεληγερέτα,νεφεληγερέτα,n-s---mn-,ابرگردآور,Ref=1.511
νημερτὲς,νημερτής,a-s---na-,لغزش‌ناپذیر، وفادارانه,Ref=1.514
νικᾷ,νικάω,v3spsa---,پیروز شدن,Ref=1.576|SpaceAfter=No
νοῆσαι,νοέω,v--ana---,اندیشیدن، فهمیدن,Ref=1.343
νόῳ,νόος,n-s---md-,ذهن,Ref=1.132|SpaceAfter=No
νοῦσον,νόσος,n-s---fa-,بیماری,Ref=1.10
νόσφι,νόσφι,r--------,دور از,Ref=1.349
νῦν,νῦν,d--------,اکنون، اینک,Ref=1.27
νυκτὶ,νύξ,n-s---fd-,شب,Ref=1.47
νώμησαν,νωμάω,v3paia---,تقسیم کردن,Ref=1.471
ξανθῆς,ξανθός,a-s---fg-,زرین,Ref=1.197
ξίφος,ξίφος,n-s---na-,شمشیر,Ref=1.194|SpaceAfter=No
ξυνήϊα,ξυνήιος,a-p---na-,اموال عمومی,Ref=1.124
τὰ,ὁ,l-p---na-,او، آن,Ref=1.6
ὀβελοῖσιν,ὀβελός,n-p---md-,سیخ,Ref=1.465
τοῦδ',ὅδε,p-s---ng-,این، همین,Ref=1.110
ὁδὸν,ὁδός,n-s---fa-,راه,Ref=1.151
Ὀδυσῆος,Ὀδυσσεύς,n-s---mg-,ادیسه,Ref=1.138
ὄζους,ὄζος,n-p---ma-,شاخه‌,Ref=1.234
ὄθομαι,ὄθομαι,v1spie---,توجه کردن,Ref=1.181
ᾔδη,οἶδα,v3slia---,دانستن,Ref=1.70
ὀϊζυρὸς,ὀιζυρός,a-s---mn-,سرگشته، رقت‌بار,Ref=1.417
οἴκαδ',οἴκαδε,d--------,به خانه، سوی خانه,Ref=1.19
οἴκοι,οἴκοι,d--------,در خانه,Ref=1.113
οἴκῳ,οἶκος,n-s---md-,خانه,Ref=1.30
οἰνοβαρές,οἰνοβαρής,a-s---mv-,می‌خواره,Ref=1.225|SpaceAfter=No
οἶνον,οἶνος,n-s---ma-,شراب,Ref=1.462
οἰνοχόει,οἰνοχοέω,v3siia---,شراب ریختن,Ref=1.598
ὀΐω,οἴομαι,v1spia---,گمان کردن، دانستن,Ref=1.59
οἶος,οἶος,a-s---mn-,تنها,Ref=1.118
οἷον,οἷος,a-s---ma-,همچون، امثال، مانند,Ref=1.263
ὀϊστοὶ,ὀιστός,n-p---mn-,تیر، پیکان,Ref=1.46
ᾤχετο,οἴχομαι,v3siie---,رفتن، آمدن,Ref=1.53
οἰωνοπόλων,οἰωνοπόλος,n-p---mg-,تعبیرگر پرندگان,Ref=1.69
οἰωνοῖσί,οἰωνός,n-p---md-,پرنده,Ref=1.5
ὀλέκοντο,ὀλέκω,v3piie---, نابود کردن، هلاک شدن,Ref=1.10
ὀλίγον,ὀλίγος,a-s---na-,اندک,Ref=1.167
ὀλέσσῃ,ὄλλυμι,v3sasa---,از میان بردن، نابود کردن,Ref=1.205|SpaceAfter=No
ὀλοιῇσι,ὀλοός,a-p---fd-,نابودگر، مرگ‌بار,Ref=1.342
Ὀλύμπια,Ὀλύμπιος,a-p---na-,المپی,Ref=1.18
Ὀλύμπῳ,Ὄλυμπος,n-s---md-,المپ,Ref=1.566
ὁμηγερέες,ὁμηγερής,a-p---mn-,انجمن,Ref=1.57
ὡμίλησα,ὁμιλέω,v1saia---,همنشین بودن,Ref=1.261|SpaceAfter=No
ὀμίχλη,ὁμίχλη,n-s---fn-,مه، غبار,Ref=1.359|SpaceAfter=No
ὄμματ',ὄμμα,n-p---na-,چشم,Ref=1.225
ὄμοσσον,ὄμνυμι,v2sama---,سوگند خوردن,Ref=1.76
ὁμοίης,ὁμοῖος,a-s---fg-,همسان,Ref=1.278
ὁμοιωθήμεναι,ὁμοιόω,v--anp---,قیاس کردن,Ref=1.187
ὁμοῦ,ὁμοῦ,d--------,با هم,Ref=1.61
ὁμῶς,ὁμῶς,d--------,یکسان، به یک اندازه,Ref=1.196
ὄναρ,ὄναρ,n-s---nn-,رویا,Ref=1.63
ὀνειδείοις,ὀνείδειος,a-p---nd-,ملامت‌بار,Ref=1.519
ὀνείδισον,ὀνειδίζω,v2sama---,طعنه زدن، سرزنش کردن,Ref=1.211
ὀνείδεα,ὄνειδος,n-p---na-,ملامت‌، ناسزا، سرزنش,Ref=1.291
ὀνειροπόλον,ὀνειροπόλος,n-s---ma-,خواب‌‌گزار,Ref=1.63|SpaceAfter=No
ὤνησας,ὀνίνημι,v2saia---,شاد کردن، یاری دادن,Ref=1.395
ὀνόμαζε,ὀνομάζω,v3siia---,صدا زدن,Ref=1.361|SpaceAfter=No
ὀξὺ,ὀξύς,a-s---na-,تیز,Ref=1.190
ὄπιθεν,ὄπισθεν,d--------,از پشت، پشت سر,Ref=1.197|SpaceAfter=No
ὀπίσσω,ὀπίσω,d--------,پشت، از پشت، پس ,Ref=1.343|SpaceAfter=No
ὁππότ',ὁπότε,d--------,آنگاه که,Ref=1.163
ὤπτησάν,ὀπτάω,v3paia---,کباب کردن,Ref=1.466
ὅπως,ὅπως,c--------,به نحوی که، تا,Ref=1.136
ὁρᾶτο,ὁράω,v3siie---,دیدن,Ref=1.56|SpaceAfter=No
ὀρεγνύς,ὀρέγνυμι,v-sppamn-,بالا بردن,Ref=1.351|SpaceAfter=No
ὀρεσκῴοισι,ὀρεσκῷος,a-p---md-,کوه‌نشین,Ref=1.268
οὐρῆας,ὀρεύς,n-p---ma-,قاطر,Ref=1.50
ὅρκον,ὅρκος,n-s---ma-,سوگند,Ref=1.233
ὥρμαινε,ὁρμαίνω,v3siia---,تعمق کردن,Ref=1.193
ὅρμον,ὅρμος,n-s---ma-,لنگرگاه,Ref=1.435
ὄρσε,ὄρνυμι,v3saia---,برانگیختن,Ref=1.10
ὄρεσσι,ὄρος,n-p---nd-,کوه‌,Ref=1.235
ἣ,ὅς,p-s---fn-,او، آن، که,Ref=1.2
ὅσσον,ὅσος,a-s---na-,چنین، این چنین,Ref=1.186
ὄσσε,ὄσσε,n-d---nn-,دو چشم,Ref=1.200
ὀσσόμενος,ὄσσομαι,v-sppemn-,نگاه کردن، پیش‌بینی کردن,Ref=1.105
ἅσσ',ὅστις,p-p---na-,آنچه که، چنان که، که,Ref=1.554
ὅτε,ὅτε,c--------,آنگاه که، هنگامی که,Ref=1.80
ὅτι,ὅτι,c--------,آنگاه که، از آن رو که,Ref=1.56
ὀτρηρὼ,ὀτρηρός,a-d---mn-,چالاک، آماده به خدمت,Ref=1.321
οὐκ,οὐ,d--------,نه (منفی ساز),Ref=1.24
οὐδὲν,οὐδείς,a-s---na-,هیچکس، هیچ,Ref=1.244
οὐλομένην,οὐλόμενος,a-s---fa-,ویرانگر,Ref=1.2|SpaceAfter=No
οὐλοχύτας,οὐλοχύται,n-p---fa-,بلغور جو,Ref=1.449
οὖν,οὖν,g--------,سپس، بی‌شک,Ref=1.57
οὕνεκα,οὕνεκα,c--------,از آن رو که,Ref=1.11
Οὐρανίωνες,Οὐρανίωνες,n-p---mn-,آسمانیان، آسمانی,Ref=1.570|SpaceAfter=No
οὐρανόθεν,οὐρανόθεν,d--------,از آسمان,Ref=1.195|SpaceAfter=No
οὐρανὸν,οὐρανός,n-s---ma-,آسمان,Ref=1.497
οὖρον,οὖρος,n-s---ma-,باد,Ref=1.479
οὔτέ,οὔτε,d--------,نه (ادات نفی),Ref=1.108
οὔ,οὔτι,d--------,نه (ادات نفی),Ref=1.108
οὐτιδανὸς,οὐτιδανός,a-s---mn-,بی‌مقدار,Ref=1.293
ταῦτ',οὗτος,a-p---na-,این، آن,Ref=1.126
οὕτως,οὕτως,d--------,چنین,Ref=1.131
ὄφελες,ὀφείλω,v2saia---,ملزم بودن، چنین بودن ,Ref=1.415
ὄφελλεν,ὀφέλλω,v3siia---,مدیون‌ بودن، بزرگ داشتن,Ref=1.353
ὀφθαλμοῖσιν,ὀφθαλμός,n-p---md-,چشم,Ref=1.587
ὄφρα,ὄφρα,c--------,تا,Ref=1.82
ὀφρύσι,ὀφρύς,n-p---fd-,ابرو,Ref=1.528
ὄχ',ὄχα,d--------,چه بسا، به مراتب,Ref=1.69
ὀχθήσας,ὀχθέω,v-sapamn-,از خشم لبریز شدن,Ref=1.517
ὀπὶ,ὄψ,n-s---fd-,صدا,Ref=1.604
παιήονα,παιάν,n-s---ma-,سرود‌های آپولونی، پایان,Ref=1.473
παῖδα,παῖς,n-s---fa-,فرزند,Ref=1.20
παλάμῃς,παλάμη,n-p---fd-,دست، کف دست,Ref=1.238
παλίλλογα,παλίλλογος,a-p---na-,بازپس‌گرفته,Ref=1.126
παλιμπλαγχθέντας,παλιμπλάζομαι,v-pappma-,پس رانده شدن,Ref=1.59
πάλιν,πάλιν,d--------,باز,Ref=1.116
παλινάγρετον,παλινάγρετος,a-s---nn-,پس گرفتن,Ref=1.526
Παλλάδ',Παλλάς,n-s---fa-,پالاس,Ref=1.200
πάμπαν,πάμπαν,d--------,یکسره,Ref=1.422|SpaceAfter=No
πανημέριοι,πανημέριος,a-p---mn-,تمام روز,Ref=1.472
πάντῃ,πάντῃ,d--------, از هر سو,Ref=1.384
παρὰ,παρά,r--------,کنار,Ref=1.26
παράφημι,παράφημι,v1spia---,پند دادن,Ref=1.577
παρέζετο,παρέζομαι,v3siie---,کنار... نشستن,Ref=1.557
πάρ',πάρειμι,v3ppia---,حضور داشتن، کنار ... بودن ,Ref=1.174
παρείπῃ,παρεῖπον,v3sasa---, قانع کردن,Ref=1.555
παρελεύσεαι,παρέρχομαι,v2sfim---,از کنار ... گذشتن، فریب دادن,Ref=1.132
παρήμενος,πάρημαι,v-sppemn-,کنار... نشستن,Ref=1.421
πάροιθ',πάροιθε,r--------,پیش، در برابر,Ref=1.360
πάρος,πάρος,d--------,پیش از این، تا کنون,Ref=1.610
πᾶσι,πᾶς,a-p---md-,تمام، همه,Ref=1.5|SpaceAfter=No
πάσαντο,πατέομαι,v3paim---,خوردن,Ref=1.464|SpaceAfter=No
πατρὶ,πατήρ,n-s---md-,پدر  ,Ref=1.98
πάτρης,πάτρη,n-s---fg-,وطن، سرزمین پدری,Ref=1.30
Πατρόκλεες,Πάτροκλος,n-s---mv-,پاتروکلوس,Ref=1.337
παύσαντο,παύω,v3paim---,پایان دادن، متوقف کردن,Ref=1.467
ἐπείθετο,πείθω,v3siie---,ترغیب کردن، فرمان بردن,Ref=1.33
πείρησαι,πειράω,v2samm---,آزمودن، سعی کردن,Ref=1.302
Πειρίθοόν,Πειρίθοος,n-s---ma-, پیریتوس,Ref=1.263
πεπαρμένον,πείρω,v-srpena-,زدن، کوبیدن,Ref=1.246|SpaceAfter=No
πέλασαν,πελάζω,v3paia---,نزدیک آوردن، نزدیک شدن,Ref=1.434
πέλεται,πέλω,v3spie---,گشتن، شدن,Ref=1.284
ἔπεμψεν,πέμπω,v3saia---,فرستادن,Ref=1.442
πεμπώβολα,πεμπώβολον,n-p---na-,چنگال‌ پنج‌شاخه,Ref=1.463
πένθος,πένθος,n-s---nn-,اندوه، غصه,Ref=1.254
πένοντο,πένομαι,v3piie---,مشغول بودن، زحمت کشیدن,Ref=1.318
περ,πέρ,g--------,حتی، گرچه,Ref=1.81
περὶ,περί,r--------,پیرامون، با، فراتر از,Ref=1.236
περίσχεο,περιέχω,v2samm---,حمایت کردن، در بر گرفتن,Ref=1.393
περικαλλέος,περικαλλής,a-s---fg-,بس‌زیبا,Ref=1.603
περικλυτὸς,περικλυτός,a-s---mn-,نامدار,Ref=1.607
περιφραδέως,περιφραδής,d--------,ماهرانه,Ref=1.466|SpaceAfter=No
πέτασσαν,πετάννυμι,v3paia---,گستردن,Ref=1.480|SpaceAfter=No
Πηλεΐδη,Πηλείδης,n-s---mv-,پور پلئوس,Ref=1.146
Πηλεΐωνι,Πηλείων,n-s---md-,پور پلئوس,Ref=1.188
Πηλῆος,Πηλεύς,n-s---mg-,پلئوس,Ref=1.489
Πηληϊάδεω,Πηληιάδης,n-s---mg-,پور پلئوس,Ref=1.1
πίμπλαντ',πίμπλημι,v3piie---,انباشتن، مالامال گشتن,Ref=1.104|SpaceAfter=No
πίπτωσι,πίπτω,v3ppsa---,افتادن,Ref=1.243|SpaceAfter=No
πίονα,πίων,a-p---na-,پیه‌اندود,Ref=1.40
πλεῖον,πλείων,a-s---nac,بیشتر,Ref=1.165
πλοῦτον,πλοῦτος,n-s---ma-,ثروت,Ref=1.171
ποδάρκης,ποδάρκης,a-s---mn-,تیزپا,Ref=1.121
ποθέεσκε,ποθέω,v3siia---,آرزو کردن، مشتاق بودن,Ref=1.492
ποθὴ,ποθή,n-s---fn-,نیاز,Ref=1.240
ποθι,ποθι,d--------,زمانی,Ref=1.128
ποιήσαντες,ποιέω,v-papamn-,ساختن,Ref=1.461|SpaceAfter=No
ποιμένα,ποιμήν,n-s---ma-,چوپان,Ref=1.263
ποῖον,ποῖος,a-s---ma-,چه,Ref=1.552
ποιπνύοντα,ποιπνύω,v-sppama-,به تکاپو افتادن,Ref=1.600|SpaceAfter=No
πολεμίζων,πολεμίζω,v-sppamn-,جنگیدن,Ref=1.168|SpaceAfter=No
πόλεμός,πόλεμος,n-s---mn-,جنگ,Ref=1.61
πολιῆς,πολιός,a-s---fg-,خاکستری,Ref=1.350|SpaceAfter=No
πόλιν,πόλις,n-s---fa-,شهر,Ref=1.366
πολλάκι,πολλάκις,d--------,بارها,Ref=1.396
πολυάϊκος,πολυ,---------,دشواری,Ref=1.165
πολυβενθέος,πολυβενθής,a-s---mg-,بس ژرف,Ref=1.432
πολυδειράδος,πολυδειράς,a-s---mg-, چندفراز ,Ref=1.499
πολύμητις,πολύμητις,a-s---mn-,پرنیرنگ,Ref=1.311
πολλὰς,πολύς,a-p---fa-,بسی، بسیار,Ref=1.3
πολύστονα,πολύστονος,a-p---na-,پر سوگ,Ref=1.445
Πολύφημον,Πολύφημος,n-s---ma-,پلوفموس,Ref=1.264
πολυφλοίσβοιο,πολύφλοισβος,a-s---fg-,خروشان,Ref=1.34
πόνου,πόνος,n-s---mg-,کار، زحمت,Ref=1.467
ποντοπόροιο,ποντόπορος,a-s---fg-,دریاپیما,Ref=1.439|SpaceAfter=No
πόντον,πόντος,n-s---ma-,دریا,Ref=1.350|SpaceAfter=No
πόποι,πόποι,i--------,دریغا، آه,Ref=1.254
πορφύρεον,πορφύρεος,a-s---nn-,خیزان، خروشان,Ref=1.482
πόρε,πόρω,v3saia---,اعطا کردن، مقدر کردن,Ref=1.72
Ποσειδάων,Ποσειδεών,n-s---mn-,پوسیدون,Ref=1.400
πόσιος,πόσις,n-s---fg-,نوشیدنی,Ref=1.469
ποτέ,ποτέ,g--------,گاهی، وقتی، پیش از این,Ref=1.39
πότνια,πότνια,a-s---fn-,گرانقدر,Ref=1.568
ποτοῖο,ποτός,a-s---mg-, باده، نوشیدنی,Ref=1.470|SpaceAfter=No
που,πού,d--------,جایی، به طریقی,Ref=1.124
πόδας,πούς,n-p---ma-,پا,Ref=1.58
πραπίδεσσι,πραπίδες,n-p---fd-,فهم، درک,Ref=1.608|SpaceAfter=No
πρῆξαι,πράσσω,v--ana---,پیش بردن، انجام دادن,Ref=1.562
πρῆσεν,πρήθω,v3saia---,باد کردن، دمیدن,Ref=1.481
Πριάμοιο,Πρίαμος,n-s---mg-,پریام,Ref=1.19
πρίν,πρίν,c--------,تا، تا هنگامی که,Ref=1.98
πρό,πρό,r--------,پیش، پیشتر,Ref=1.70
προβάλοντο,προβάλλω,v3paim---,افشاندن,Ref=1.458|SpaceAfter=No
προβέβουλα,προβέβουλα,v1sria---,ترجیح دادن,Ref=1.113
προέρεσσαν,προερέσσω,v3paia---,پیش راندن,Ref=1.435
προέρυσσεν,προερύω,v3saia---,پیش کشیدن,Ref=1.308|SpaceAfter=No
προΐαψεν,προιάπτω,v3saia---,افکندن، پیش فرستادن,Ref=1.3
πρόες,προίημι,v2sama---,پیش فرستادن,Ref=1.127|SpaceAfter=No
πρόπαν,πρόπας,a-s---na-,تمام، همه,Ref=1.601
πρὸς,πρός,r--------,سوی، نزد، از,Ref=1.160
προσηύδα,προσαυδάω,v3siia---,پیش‌ خواندن,Ref=1.201|SpaceAfter=No
προσέειπε,προσεῖπον,v3saia---,گفتن,Ref=1.105|SpaceAfter=No
πρόσθεν,πρόσθεν,d--------,نخست,Ref=1.251
προσέφη,πρόσφημι,v3siia---,گفتن، پاسخ دادن,Ref=1.84
προσεφώνεον,προσφωνέω,v3piia---,گفتن,Ref=1.332
πρόσσω,πρόσω,d--------,پیش، بعدی,Ref=1.343
πρότερος,πρότερος,a-s---mn-,پیش، جلوتر، مقدم,Ref=1.548
προθέουσιν,προτίθημι,v3ppia---,پیش نهادن، اجازه دادن,Ref=1.291
προτόνοισιν,πρότονοι,n-p---md-,ریسمان جلوی دکل,Ref=1.434
πρόφρων,πρόφρων,a-s---mn-,قاطعانه، مشتاقانه، با رغبت,Ref=1.77
πρύμνας,πρύμνα,n-p---fa-,پاشنه‌ی کشتی,Ref=1.409
πρυμνήσι',πρυμνήσιος,a-p---na-,ریسمان‌ پاشنه‌ی کشتی,Ref=1.436
πρώτιστα,πρώτιστος,a-p---na-,نخست,Ref=1.105
πρῶτα,πρῶτος,a-p---na-,نخست,Ref=1.6
πτερόεντα,πτερόεις,a-p---na-,بالدار، پردار,Ref=1.201
πτολίεθρον,πτολίεθρον,n-s---na-,شهر ، دژ,Ref=1.164|SpaceAfter=No
Πυλίων,Πύλιος,n-p---mg-,پولسی,Ref=1.248
πυθοίατο,πυνθάνομαι,v3paom---,آموختن، دانستن,Ref=1.257
πυρὶ,πῦρ,n-s---nd-,آتش,Ref=1.104
πυραὶ,πυρή,n-p---fn-,آتشگاه، هیمه‌‌‌ی آتش,Ref=1.52
πώ,πω,g--------,تا کنون، هنوز، هرگز ,Ref=1.106
πωλέσκετο,πωλέομαι,v3siie---,به ... رفت و آمد کردن ,Ref=1.490
πώποτ',πώποτε,d--------,هرگز,Ref=1.154
πως,πως,g--------,به طریقی,Ref=1.66
πῶς,πῶς,d--------,چگونه,Ref=1.150
ῥέξας,ῥέζω,v-sapamn-,ذبح کردن,Ref=1.147|SpaceAfter=No
ῥέεν,ῥέω,v3siia---,جاری گشتن، روان شدن,Ref=1.249
ῥηγμῖνι,ῥηγμίν,n-s---md-,کرانه‌,Ref=1.437
ῥίγιον,ῥίγιον,a-s---nn-,ناگوارتر,Ref=1.325
ῥῖψε,ῥίπτω,v3saia---,بیرون انداختن، افکندن,Ref=1.591
ῥοδοδάκτυλος,ῥοδοδάκτυλος,a-s---fn-,انگشت گلگون,Ref=1.477
σημαίνειν,σημαίνω,v--pna---,دستور دادن، فرمان راندن,Ref=1.289|SpaceAfter=No
Σίντιες,Σίντιες,n-p---mn-,سینتیایی,Ref=1.594
σκαιῇ,σκαιός,a-s---fd-,چپ، دست چپ,Ref=1.501|SpaceAfter=No
σκηπτοῦχος,σκηπτοῦχος,a-s---mn-,صاحب‌عصا,Ref=1.279
σκήπτρῳ,σκῆπτρον,n-s---nd-,عصای‌ شاهی,Ref=1.15|SpaceAfter=No
ἐσκίδναντο,σκίδνημι,v3piie---,متفرق شدن,Ref=1.487
σκιόεντα,σκιόεις,a-p---nn-,سایه‌دار، پر سایه,Ref=1.157
Σμινθεῦ,Σμινθεύς,n-s---mv-,اسمینتئوس,Ref=1.39
σ',σοί,p-s---md-,تو,Ref=1.170
σοῖσι,σός,a-p---nd-,مال‌ تو، ِ تو,Ref=1.42
σπλάγχνα,σπλάγχνον,n-p---na-,اندرونه‌، احشا,Ref=1.464
στείρῃ,στεῖρα,n-s---fd-,دماغه‌ (کشتی),Ref=1.482
στείλαντο,στέλλω,v3paim---,آماده کردن، جمع کردن,Ref=1.433|SpaceAfter=No
στέμματ',στέμμα,n-p---na-,بساک,Ref=1.14
στενάχων,στενάχω,v-sppamn-,آه کشیدن، نالیدن,Ref=1.364
στήθεσσιν,στῆθος,n-p---nd-,سینه‌,Ref=1.83
στρατὸν,στρατός,n-s---ma-,لشکر,Ref=1.10
στυγέῃ,στυγέω,v3spsa---,ترسیدن، بیزار بودن,Ref=1.186
στυφελίξαι,στυφελίζω,v--ana---,راندن، بدرفتاری کردن,Ref=1.581|SpaceAfter=No
ὑμῖν,σύ,p-p----d-,تو، شما,Ref=1.18
συμπάντων,σύμπας,a-p---mg-,جملگی,Ref=1.90
συμφράσσατο,συμφράζομαι,v3saim---,هم‌فکری کردن، مشورت کردن,Ref=1.537
σὺν,σύν,r--------,با,Ref=1.170
ξυνδῆσαι,συνδέω,v--ana---,بستن، پیوند دادن,Ref=1.399
ξυνέηκε,συνίημι,v3saia---,آوردن، شنیدن,Ref=1.8
σύνθεο,συντίθημι,v2samm---,کنار هم گذاشتن، پی بردن,Ref=1.76
ἔσφαξαν,σφάζω,v3paia---,ذبح کردن,Ref=1.459
σφωε,σφεῖς,p-d---ma-,آنها، او,Ref=1.8
σφοῦ,σφός,a-s---mg-,مال آنها، َ آنها,Ref=1.534
σφωΐτερόν,σφωίτερος,a-s---na-,مال شما دو نفر,Ref=1.216
σχίζῃς,σχίζα,n-p---fd-, سیخ,Ref=1.462
σαώσεις,σώζω,v2sasa---,محافظت کردن,Ref=1.83|SpaceAfter=No
σαώτερος,σῶς,a-s---mnc,ایمن، بی‌گزند، امن,Ref=1.32
Ταλθύβιόν,Ταλθύβιος,n-s---ma-,تالتوبیوس,Ref=1.320
τάνυσσαν,τανύω,v3paia---,گستردن,Ref=1.486|SpaceAfter=No
ταράξῃ,ταράσσω,v3sasa---,بر هم‌ زدن، مختل کردن,Ref=1.579|SpaceAfter=No
ταρβήσαντε,ταρβέω,v-dapamn-,ترسیدن,Ref=1.331
ταύρων,ταῦρος,n-p---mg-,گاو,Ref=1.41
τάχ',τάχα,d--------,به زودی، به سرعت,Ref=1.205
τε,τε,c--------,و,Ref=1.5
τέκμωρ,τέκμαρ,n-s---nn-,نشان، علامت,Ref=1.526|SpaceAfter=No
τέκνον,τέκνον,n-s---nv-,فرزند، کودک,Ref=1.362
τέκος,τέκος,n-s---nv-, فرزند، جوان,Ref=1.202
τελείων,τέλειος,a-p---mg-,بی نقص، کامل,Ref=1.66
ἐτελείετο,τελέω,v3siie---,به فرجام رسیدن، به فرجام رساندن,Ref=1.5
τεληέσσας,τελήεις,a-p---fa-,بی‌نقص,Ref=1.315
ἔτελλε,τέλλω,v3siia---,فرمان دادن (با ἐπί),Ref=1.25|SpaceAfter=No
Τενέδοιό,Τένεδος,n-s---fg-,تِنِدوسْ,Ref=1.38
τεὸν,τεός,a-s---na-,تو,Ref=1.138
τερπικεραύνῳ,τερπικέραυνος,a-s---md-,رعد افکن,Ref=1.419
τέρπετ',τέρπω,v3siie---,خشنود گشتن,Ref=1.474
τεταγὼν,τεταγών,v-sapamn-,گرفتن,Ref=1.591
τετραπλῇ,τετραπλόος,a-s---fd-,چهار برابر,Ref=1.128
τεῦχε,τεύχω,v3siia---,ساختن، آفریدن، آماده کردن,Ref=1.4
τηλόθεν,τηλόθεν,d--------,از دوردست,Ref=1.270
τηλόθι,τηλόθι,r--------,دور، با فاصله,Ref=1.30
ἔθηκε,τίθημι,v3saia---,نهادن، گذاشتن، گزاردن,Ref=1.2|SpaceAfter=No
τέκε,τίκτω,v3saia---,زادن,Ref=1.36
τιμήσουσι,τιμάω,v3pasa---,احترام کردن,Ref=1.175|SpaceAfter=No
τιμὴν,τιμή,n-s---fa-,احترام، عزت,Ref=1.159
τίσειαν,τίνω,v3paoa---,تاوان دادن، سزا دادن,Ref=1.42
τίπτ',τίπτε,p--------,چرا,Ref=1.202
τι,τις,p-s---na-,کسی، چیزی,Ref=1.602
τίς,τίς,x--------,کدامین,Ref=1.8
τέτληκας,τλάω,v2sria---,تاب آوردن، طاقت آوردن,Ref=1.228
τοι,τοι,g--------,تو، تو را (ادات تاکید),Ref=1.298
τοίους,τοῖος,a-p---ma-,چنین,Ref=1.262
τομὴν,τομή,n-s---fa-,از کنده‌اش,Ref=1.235
τόξ',τόξον,n-p---na-,کمان,Ref=1.45
τόσσον,τόσος,a-s---na-,چنین، چندان,Ref=1.64
τότε,τότε,d--------,آنگاه، در آن هنگام,Ref=1.92
τοὔνεκά,τοὔνεκα,d--------,از این رو، به این خاطر,Ref=1.291
τόφρα,τόφρα,d--------,چندی,Ref=1.509
ἐτράπετ',τρέπω,v3saim---,برگشت,Ref=1.199|SpaceAfter=No
τράφεν,τρέφω,v3paip---,بالیدن، پروردن,Ref=1.251
τριπλῇ,τριπλόος,a-s---fd-,سه برابر,Ref=1.128
