ἠρᾶθ',ἀράομαι,v3siie---,فرا خواندن,Ref=1.35
ἄρσαντες,ἀραρίσκω,v-papamn-,فراهم شده,Ref=1.136
ἀργαλέος,ἀργαλέος,a-s---mn-,دشوار,Ref=1.589
Ἀργείων,Ἀργεῖος,a-p---mg-,آرگیوس‌,Ref=1.79
ἀργούς,ἀργός,a-p---ma-,چابک,Ref=1.50|SpaceAfter=No
Ἄργεϊ,Ἄργος,n-s---nd-,آرگوس,Ref=1.30
ἀργυρέοιο,ἀργύρεος,a-s---mg-,سیمین,Ref=1.49
ἀργυρόπεζα,ἀργυρόπεζος,a-s---fn-,سیمین‌پا,Ref=1.538
ἀργυρότοξ',ἀργυρότοξος,a-s---mv-,سیمین‌کمان,Ref=1.451|SpaceAfter=No
ἀρείοσιν,ἀρείων,a-p----dc,بهتر,Ref=1.260
ἀρήξειν,ἀρήγω,v--fna---,یاری دادن,Ref=1.77|SpaceAfter=No
ἀρητῆρος,ἀρητήρ,n-s---fg-,کاهن,Ref=1.94
ἀριστήεσσιν,ἀριστεύς,n-p---md-,شایسته‌ترین‌,Ref=1.227
ἄριστος,ἄριστος,a-s---mn-,بهترین,Ref=1.69|SpaceAfter=No
ἀρνῶν,ἀρνός,n-p---mg-,گوسفند,Ref=1.66
ἀρνύμενοι,ἄρνυμαι,v-pppemn-,کسب کردن، به دست آوردن,Ref=1.159
ἀρχὸς,ἀρχός,n-s---mn-,راهبر، ناخدا,Ref=1.144
ἦρχε,ἄρχω,v3siia---,رهبری کردن، آغاز کردن,Ref=1.495|SpaceAfter=No
ἄσβεστος,ἄσβεστος,a-s---mn-,خاموش‌نشدنی‌,Ref=1.599
ἆσσον,ἆσσον,d--------,نزدیک‌تر,Ref=1.567
ἀστεροπητὴς,ἀστεροπητής,n-s---mn-,آذرخش‌انداز,Ref=1.580
αὐτὰρ,ἀτάρ,c--------,اما، از طرفی، با این حال,Ref=1.51
ἀταρτηροῖς,ἀταρτηρός,a-p---nd-,ناگوار,Ref=1.223
ἀτελεύτητον,ἀτελεύτητος,a-s---nn-,بی‌سرانجام,Ref=1.527
ἄτερ,ἄτερ,r--------,دور از,Ref=1.498
ἄτην,ἄτη,n-s---fa-,به بلاهت,Ref=1.412
ἠτίμασεν,ἀτιμάζω,v3saia---,بی‌احترام کردن,Ref=1.11
ἠτίμησ',ἀτιμάω,v3saia---,بی‌احترام کردن,Ref=1.94
ἄτιμος,ἄτιμος,a-s---mn-,بی‌احترام,Ref=1.171
Ἀτρεΐδης,Ἀτρείδης,n-s---mn-,پور آترئوس,Ref=1.411
ἀτρυγέτοιο,ἀτρύγετος,a-s---fg-,بی‌حاصل,Ref=1.316|SpaceAfter=No
αὖ,αὖ,d--------,باز,Ref=1.540
ηὔδα,αὐδάω,v3siia---,زبان گشودن,Ref=1.92
αὐδή,αὐδή,n-s---fn-,نوا، آوا,Ref=1.249|SpaceAfter=No
αὐέρυσαν,αὐερύω,v3paia---,پس کشیدن,Ref=1.459
αὖθι,αὖθι,d--------,آنجا,Ref=1.492
αὖτις,αὖθις,d--------,باز، دگر,Ref=1.27
ἀϋτήν,ἀυτή,n-s---fa-,هیاهو,Ref=1.492
αὐτῆμαρ,αὐτῆμαρ,d--------,همان‌روز,Ref=1.81
αὐτίχ',αὐτίκα,d--------,اینک، بی‌درنگ,Ref=1.118
αὐτοὺς,αὐτός,a-p---ma-,خود، او، آنها,Ref=1.4
αὐτοῦ,αὐτοῦ,d--------,همان‌جا,Ref=1.428
αὔτως,αὔτως,d--------,چنین، این گونه,Ref=1.133
ἀφαιρήσεσθαι,ἀφαιρέω,v--fnm---,(برای خود) بردن، ربودن,Ref=1.161
