ve_ref,value,lemma,gloss (eng),tag
1.t1,Hwæt!,hwæt,well,indeclinable
1.t2,Wē,we,we,np
1.t3,Gār-Dena,Gar-Dene,Spear-Danes,gp
1.t4,in,in,in,indeclinable
1.t5,"gēardagum,",gear-dagas,days of yore,dp
2.t1,þēodcyninga,þeod-cyning,king of the nation,gp
2.t2,þrym,þrym,glory,as
2.t3,"gefrūnon,",gefrignan,hear,p1p
3.t1,hū,hu,how,indeclinable
3.t2,ðā,se,that,npm
3.t3,æþelingas,æþeling,prince,np
3.t4,ellen,ellen,deeds of courage,as
3.t5,fremedon.,fremman,perform,p3p
4.t1,Oft,oft,often,indeclinable
4.t2,Scyld,Scyld,Scyld,ns
4.t3,Scēfing,Scefing,Scefing,ns
4.t4,sceaþena,sceaða,enemy,gp
4.t5,"þrēatum,",þreat,troop,dp
5.t1,monegum,monig,many,dpf
5.t2,mǣgþum,mægþ,people,dp
5.t3,meodosetla,medu-setl,mead-bench,gp
5.t4,"oftēah,",ofteon,deprive,p3s
6.t1,egsode,egsian,terrify,p3s
6.t2,"eorlas,",eorl,warrior,ap
6.t3,syððan,siððan,after,indeclinable
6.t4,ǣrest,ærest,first,indeclinable
6.t5,wearð,weorðan,be,p3s
7.t1,fēasceaft,feasceaft,destitute,nsm
7.t2,funden.,findan,find,pp
7.t3,Hē,he,he,nsm
7.t4,þæs,þæt,that,gsn
7.t5,frōfre,frofor,consolation,as
7.t6,gebād:,gebidan,experience,p3s
8.t1,wēox,weaxan,grow,p3s
8.t2,under,under,under,indeclinable
8.t3,"wolcnum,",wolcen,cloud,dp
8.t4,weorðmyndum,weorð-mynd,honour,dp
8.t5,"þāh,",þeon,prosper,p3s
9.t1,oð,oð þæt,until,indeclinable
9.t2,þæt,he,he,dsm
9.t3,him,æghwylc,each,nsm
9.t4,ǣghwylc,se,the,gpm
9.t5,þāra,ymbsittend,neighbouring peoples,gp
10.t1,ofer,ofer,across,indeclinable
10.t2,hronrāde,hron-rad,whale-road,as
10.t3,hȳran,hyran,obey,i
10.t4,"scolde,",sculan,have to,p3s
11.t1,gomban,gombe,tribute,as
11.t2,gyldan.,gyldan,pay,i
11.t3,Þæt,þæt,that,nsn
11.t4,wæs,wesan,be,p3s
11.t5,gōd,god,good,nsm
11.t6,cyning.,cyning,king,ns
12.t1,Ðǣm,se,he,dsm
12.t2,eafera,eafora,son,ns
12.t3,wæs,wesan,be,p3s
12.t4,æfter,æfter,(coming) after (him),indeclinable
12.t5,cenned,cennan,bear,pp
13.t1,geong,geong,young,nsm
13.t2,in,in,in,indeclinable
13.t3,"geardum,",geard,home,dp
13.t4,þone,se,whom,asm
13.t5,God,God,God,ns
13.t6,sende,sendan,send,p3s
14.t1,folce,folc,people,ds
14.t2,tō,to,as,indeclinable
14.t3,frōfre;,frofor,consolation,ds
14.t4,fyrenðearfe,fyren-þearf,dire distress,as
14.t5,ongeat,ongitan,see,p3s
15.t1,þæt,þæt,that,indeclinable
15.t2,hīe,hie,they,npm
15.t3,ǣr,ær,before,indeclinable
15.t4,drugon,dreogan,endure,p3p
15.t5,aldorlēase,ealdorleas,lordless,npm
16.t1,lange,long,long,asf
16.t2,hwīle.,hwil,time,as
16.t3,Him,he,he,dsm
16.t4,þæs,þæt,that,gsn
16.t5,līffrea,lif-frea,lord of life,ns
17.t1,wuldres,wuldor,glory,gs
17.t2,wealdend,wealdend,ruler,ns
17.t3,woroldāre,worold-ar,worldly honour,as
17.t4,forgeaf:,forgifan,grant,p3s
18.t1,Bēow,Beow,Beow,ns
18.t2,wæs,wesan,be,p3s
18.t3,brēme,breme,famous,nsm
18.t4,–,blæd,fame,ns
18.t5,blǣd,wide,widely,indeclinable
18.t6,wīde,springan,spread,p3s
19.t1,Scyldes,Scyld,Scyld,gs
19.t2,eafera,eafora,son,ns
19.t3,Scedelandum,Scede-land,Scandia,dp
19.t4,in.,in,in,indeclinable
20.t1,Swā,swa,so,indeclinable
20.t2,sceal,sculan,should,pr3s
20.t3,geong,geong,young,nsm
20.t4,guma,guma,man,ns
20.t5,gōde,god,good actions,ds
20.t6,"gewyrcean,",gewyrcan,bring about,i
21.t1,fromum,from,splendid,dpf
21.t2,feohgiftum,feoh-gift,gift of treasure,dp
21.t3,on,on,in,indeclinable
21.t4,fæder,fæder,father,gs
21.t5,"bearme,",bearm,possession,ds
22.t1,þæt,þæt,that,indeclinable
22.t2,hine,he,he,asm
22.t3,on,on,in,indeclinable
22.t4,ylde,yldo,old age,ds
22.t5,eft,eft,afterwards,indeclinable
22.t6,gewunigen,gewunian,stand by,prc3p
23.t1,"wilgesīþas,",wil-gesið,close companion,np
23.t2,þonne,þonne,when,indeclinable
23.t3,wīg,wig,war,ns
23.t4,"cume,",cuman,come,prc3s
24.t1,lēode,leod,man,np
24.t2,gelǣsten;,gelæstan,serve,prc3p
24.t3,lofdǣdum,lof-dæd,praiseworthy deed,dp
24.t4,sceal,sculan,shall,pr3s
25.t1,in,in,in,indeclinable
25.t2,mǣgþa,mægþ,people,gp
25.t3,gehwǣre,gehwa,every,dsf
25.t4,man,mon,one,ns
25.t5,geþeon.,geþeon,prosper,i
26.t1,Him,he,himself,dsm
26.t2,ðā,þa,then,indeclinable
26.t3,Scyld,Scyld,Scyld,ns
26.t4,gewāt,gewitan,depart,p3s
26.t5,tō,to,at,indeclinable
26.t6,gescæphwīle,gesceap-hwil,fated hour,ds
27.t1,felahrōr,fela-hror,very vigorous,nsm
27.t2,fēran,feran,go,i
27.t3,on,on,in,indeclinable
27.t4,frēan,frea,Lord,gs
27.t5,wǣre.,wær,keeping,as
28.t1,Hī,hie,they,npm
28.t2,hyne,he,he,asm
28.t3,þā,þa,then,indeclinable
28.t4,ætbǣron,ætberan,carry,p3p
28.t5,tō,to,to,indeclinable
28.t6,brimes,brim,sea,gs
28.t7,"faroðe,",faroð,current,ds
29.t1,swǣse,swæs,dear,npm
29.t2,"gesīþas,",gesið,companion,np
29.t3,swā,swa,as,indeclinable
29.t4,hē,he,he,nsm
29.t5,selfa,self,himself,nsm
29.t6,bæd,biddan,ask,p3s
30.t1,þenden,þenden,while,indeclinable
30.t2,wordum,word,word,dp
30.t3,wēold.,wealdan,wield,p3s
30.t4,Wine,wine,friend,ns
30.t5,"Scyldinga,",Scyldingas,Scyldings,gp
31.t1,lēof,leof,dear,nsm
31.t2,landfruma,land-fruma,prince of the land,ns
31.t3,lange,longe,long,indeclinable
31.t4,āhte,agan,possess,p3s
32.t1,þǣr,þær,there,indeclinable
32.t2,æt,æt,in,indeclinable
32.t3,hȳðe,hyð,harbour,ds
32.t4,"stōd,",standan,stand,p3s
32.t5,hringedstefna,hringed-stefna,ring-prowed ship,ns
33.t1,īsig,isig,icy,nsm
33.t2,ond,ond,and,indeclinable
33.t3,ūtfūs,utfus,ready to set out,nsm
33.t4,–,æþeling,prince,gs
33.t5,æþelinges,fær,vessel,as
34.t1,ālēdon,alecgan,lay down,p3p
34.t2,þā,þa,then,indeclinable
34.t3,lēofne,leof,dear,asm
34.t4,"þēoden,",þeoden,lord,as
35.t1,bēaga,beag,ring,gp
35.t2,bryttan,brytta,dispenser,as
35.t3,on,on,in,indeclinable
35.t4,bearm,bearm,bosom,as
35.t5,"scipes,",scip,ship,gs
36.t1,mǣrne,mære,famous,asm
36.t2,be,be,by,indeclinable
36.t3,mæste.,mæst,mast,ds
36.t4,Þǣr,þær,there,indeclinable
36.t5,wæs,wesan,be,p3s
36.t6,mādma,maððum,treasure,gp
36.t7,fela,fela,many,in
37.t1,of,of,from,indeclinable
37.t2,feorwegum,feor-weg,distant land,dp
37.t3,frætwa,frætwe,ornament,gp
37.t4,gelǣded.,lædan,bring,pp
38.t1,Ne,ne,not,indeclinable
38.t2,hȳrde,hyran,hear,p1s
38.t3,ic,ic,I,ns
38.t4,cȳmlīcor,cymlice,becomingly,c
38.t5,cēol,ceol,ship,as
38.t6,gegyrwan,gegyrwan,adorn,i
39.t1,hildewǣpnum,hilde-wæpen,war-weapon,dp
39.t2,ond,ond,and,indeclinable
39.t3,"heaðowǣdum,",heaþo-wæd,battle garment,dp
40.t1,billum,bill,sword,dp
40.t2,ond,ond,and,indeclinable
40.t3,byrnum;,byrne,mail-coat,dp
40.t4,him,he,he,dsm
40.t5,on,on,in,indeclinable
40.t6,bearme,bearm,bosom,ds
40.t7,læg,licgan,lie,p3s
41.t1,mādma,maððum,treasure,gp
41.t2,"mænigo,",menigeo,multitude,ns
41.t3,þā,se,which,npm
41.t4,him,he,he,dsm
41.t5,mid,mid,with,indeclinable
41.t6,scoldon,sculan,have to,p3p
42.t1,on,on,in,indeclinable
42.t2,flōdes,flod,flood,gs
42.t3,ǣht,æht,power,as
42.t4,feor,feor,far,indeclinable
42.t5,gewītan.,gewitan,go,i
43.t1,Nalæs,nealles,not at all,indeclinable
43.t2,hī,hie,they,npm
43.t3,hine,he,he,asm
43.t4,lǣssan,læssa,fewer,dpnc
43.t5,lācum,lac,gift,dp
43.t6,"tēodan,",teon,furnish,p3p
44.t1,"þēodgestrēonum,",þeod-gestreon,people's treasure,dp
44.t2,þonne,þonne,than,indeclinable
44.t3,þā,se,that,npm
44.t4,dydon,don,do,p3p
45.t1,þē,þe,who,in
45.t2,hine,he,he,asm
45.t3,æt,æt,at,indeclinable
45.t4,frumsceafte,frumsceaft,beginning,ds
45.t5,forð,forð,forth,indeclinable
45.t6,onsendon,onsendan,send,p3p
46.t1,ǣnne,an,alone,asm
46.t2,ofer,ofer,over,indeclinable
46.t3,ȳðe,yð,wave,ap
46.t4,umborwesende.,umbor-wesende,as a child,asm
47.t1,Þā,þa,then,indeclinable
47.t2,gȳt,gyt,furthermore,indeclinable
47.t3,hīe,hie,they,npm
47.t4,him,he,he,dsm
47.t5,āsetton,asettan,place,p3p
47.t6,segen,segn,standard,as
47.t7,gyldenne,gylden,golden,asm
48.t1,hēah,heah,high,asm
48.t2,ofer,ofer,over,indeclinable
48.t3,"hēafod,",heafod,head,as
48.t4,lēton,lætan,let,p3p
48.t5,holm,holm,sea,as
48.t6,"beran,",beran,bear,i
49.t1,gēafon,gifan,give,p3p
49.t2,on,on,to,indeclinable
49.t3,gārsecg;,gar-secg,ocean,as
49.t4,him,hie,they,dpm
49.t5,wæs,wesan,be,p3s
49.t6,geōmor,geomor,sad,nsm
49.t7,"sefa,",sefa,heart,ns
50.t1,murnende,murnan,mourn,pprnsn
50.t2,mōd.,mod,mind,ns
50.t3,Men,monn,man,np
50.t4,ne,ne,not,indeclinable
50.t5,cunnon,cunnan,can,pr3p
51.t1,secgan,secgan,say,i
51.t2,tō,to,for,indeclinable
51.t3,"sōðe,",soð,truth,ds
51.t4,selerǣdende,sele-rædend,hall-counsellor,np
52.t1,hǣleð,hæle,man,np
52.t2,under,under,under,indeclinable
52.t3,"heofenum,",heofon,heaven,dp
52.t4,hwā,hwa,who,nsm
52.t5,þǣm,se,that,dsm
52.t6,hlæste,hlæst,freight,ds
52.t7,onfēng.,onfon,receive,p3s
53.t1,Ðā,þa,then,indeclinable
53.t2,wæs,wesan,be,p3s
53.t3,on,on,in,indeclinable
53.t4,burgum,burh,stronghold,dp
53.t5,Bēow,Beow,Beow,ns
53.t6,"Scyldinga,",Scyldingas,Scyldings,gp
54.t1,lēof,leof,beloved,nsm
54.t2,lēodcyning,leod-cyning,king of the nation,ns
54.t3,longe,long,long,asf
54.t4,þrāge,þrag,time,as
55.t1,folcum,folc,people,dp
55.t2,gefrǣge,gefræge,renowned,nsm
55.t3,–,fæder,father,ns
55.t4,fæder,ellor,elsewhere,indeclinable
55.t5,ellor,hweorfan,go,p3s
56.t1,aldor,ealdor,chief,ns
56.t2,of,of,from,indeclinable
56.t3,earde,eard,homeland,ds
56.t4,–,oð þæt,until,indeclinable
56.t5,oþ,he,he,dsm
56.t6,þæt,eft,afterwards,indeclinable
56.t7,him,onwæcnan,be born,p3s
57.t1,hēah,heah,high,nsm
57.t2,Healfdene;,Healfdene,Healfdene,ns
57.t3,hēold,healdan,rule,p3s
57.t4,þenden,þenden,while,indeclinable
57.t5,lifde,libban,live,p3s
58.t1,gamol,gamol,old,nsm
58.t2,ond,ond,and,indeclinable
58.t3,gūðrēouw,guð-hreow,fierce in battle,nsm
58.t4,glæde,glæd,gracious,apm
58.t5,Scyldingas.,Scyldingas,Scyldings,ap
59.t1,Ðǣm,se,he,dsm
59.t2,fēower,feower,four,npn
59.t3,bearn,bearn,child,np
59.t4,forðgerīmed,forð-gerimed,all told,npn
60.t1,in,in,in,indeclinable
60.t2,worold,worold,world,as
60.t3,wōcun,wæcnan,be born,p3p
60.t4,weoroda,werod,host,gp
60.t5,"rǣswan,",ræswa,leader,ds
61.t1,Heorogār,Heorogar,Heorogar,ns
61.t2,ond,ond,and,indeclinable
61.t3,Hrōðgār,Hroðgar,Hrothgar,ns
61.t4,ond,ond,and,indeclinable
61.t5,Hālga,Halga,Halga,ns
61.t6,til;,til,good,nsm
62.t1,hȳrde,hyran,hear,p1s
62.t2,ic,ic,I,ns
62.t3,þæt.,þæt,that,indeclinable
62.t4,.,wesan,be,p3s
62.t5,.,Onela,Onela,gs
62.t6,.,cwen,queen,ns
63.t1,Heaðo-Scilfingas,Heaþo-Scylfing,Battle-Scylfing,gs
63.t2,healsgebedda.,heals-gebedda,close bedfellow,ns
64.t1,Þā,þa,then,indeclinable
64.t2,wæs,wesan,be,p3s
64.t3,Hrōðgāre,Hroðgar,Hrothgar,ds
64.t4,herespēd,here-sped,success in battle,ns
64.t5,"gyfen,",gifan,give,pp
65.t1,wīges,wig,war,gs
65.t2,"weorðmynd,",weorð-mynd,honour,ns
65.t3,þæt,þæt,so that,indeclinable
65.t4,him,he,he,dsm
65.t5,his,he,his,gsm
65.t6,winemāgas,wine-mæg,retainer,np
66.t1,georne,georne,willingly,indeclinable
66.t2,"hȳrdon,",hyran,obey,p3p
66.t3,oðð,oð þæt,until,indeclinable
66.t4,þæt,seo,the,nsf
66.t5,sēo,geogoð,youth,ns
66.t6,geogoð,geweaxan,increase,p3s
67.t1,magodriht,mago-dryht,young retinue,ns
67.t2,micel.,micel,large,nsf
67.t3,Him,he,he,dsm
67.t4,on,on,in,indeclinable
67.t5,mōd,mod,mind,as
67.t6,bearn,beirnan,occur,p3s
68.t1,þæt,þæt,that,indeclinable
68.t2,healreced,heall-reced,hall,as
68.t3,hātan,hatan,order,i
68.t4,"wolde,",willan,would,p3s
69.t1,medoærn,medu-ærn,mead-hall,as
69.t2,micel,micel,large(r),asn
69.t3,men,monn,man,ap
69.t4,gewyrcean,gewyrcan,build,i
70.t1,þonne,þonne,than,indeclinable
70.t2,yldo,ylde,men,gp
70.t3,bearn,bearn,son,np
70.t4,ǣfre,æfre,forever,indeclinable
70.t5,"gefrūnon,",gefrignan,hear of,p3p
71.t1,ond,ond,and,indeclinable
71.t2,þǣr,þær,there,indeclinable
71.t3,on,on innan,inside,indeclinable
71.t4,innan,eall,all,asn
71.t5,eall,gedælan,distribute,i
72.t1,geongum,geong,young,dpm
72.t2,ond,ond,and,indeclinable
72.t3,ealdum,eald,old,dpm
72.t4,swylc,swylc,such as,asn
72.t5,him,he,he,dsm
72.t6,God,God,God,ns
72.t7,"sealde,",sellan,give,p3s
73.t1,būton,buton,except,indeclinable
73.t2,folcscare,folc-scaru,nation (?) heritable land (?),ds
73.t3,ond,ond,and,indeclinable
73.t4,feorum,feorh,life,dp
73.t5,gumena.,guma,man,gp
74.t1,Ðā,þa,then,indeclinable
74.t2,ic,ic,I,ns
74.t3,wīde,wide,widely,indeclinable
74.t4,gefrægn,gefrignan,hear,p1s
74.t5,weorc,weorc,work,as
74.t6,gebannan,gebannan,order,i
75.t1,manigre,monig,many,dsf
75.t2,mǣgþe,mægþ,nation,ds
75.t3,geond,geond,throughout,indeclinable
75.t4,þisne,þes,this,asm
75.t5,"middangeard,",middan-geard,world,as
76.t1,folcstede,folc-stede,people's place,as
76.t2,frætwan.,frætwan,adorn,i
76.t3,Him,he,he,dsm
76.t4,on,on,in,indeclinable
76.t5,fyrste,fyrst,time,ds
76.t6,"gelomp,",gelimpan,come to pass,p3s
77.t1,ǣdre,ædre,swiftly,indeclinable
77.t2,mid,mid,among,indeclinable
77.t3,"yldum,",ylde,men,dp
77.t4,þæt,þæt,that,indeclinable
77.t5,hit,hit,it,nsn
77.t6,wearð,weorðan,be,p3s
77.t7,eal,eall,entirely,indeclinable
77.t8,"gearo,",gearo,ready,nsn
78.t1,healærna,heall-ærn,hall,gp
78.t2,mǣst;,mæst,the greatest,nsns
78.t3,scōp,scyppan,assign,p3s
78.t4,him,hit,it,dsn
78.t5,Heort,Heorot,Heorot,as
78.t6,naman,nama,name,as
79.t1,sē,se,he,nsm
79.t2,þe,þe,who,in
79.t3,his,he,his,gsm
79.t4,wordes,word,word,gs
79.t5,geweald,geweald,power,as
79.t6,wīde,wide,widely,indeclinable
79.t7,hæfde.,habban,have,p3s
80.t1,Hē,he,he,nsm
80.t2,bēot,beot,vow,as
80.t3,ne,ne,not,indeclinable
80.t4,ālēh:,aleogan,fail to perform,p3s
80.t5,bēagas,beag,ring,ap
80.t6,"dǣlde,",dælan,distribute,p3s
81.t1,sinc,sinc,treasure,as
81.t2,æt,æt,in,indeclinable
81.t3,symle.,symbel,banquet,ds
81.t4,Sele,sele,hall,ns
81.t5,hlīfade,hlifian,tower,p3s
82.t1,hēah,heah,high,nsm
82.t2,ond,ond,and,indeclinable
82.t3,horngēap;,horn-geap,wide-gabled,nsm
82.t4,heaðowylma,heaþo-wylm,surge of war,gp
82.t5,bād,bidan,await,p3s
83.t1,lāðan,lað,hostile,gsm
83.t2,līges,lig,fire,gs
83.t3,–,ne,not,indeclinable
83.t4,ne,wesan,be,p3s
83.t5,wæs,hit,it,nsn
83.t6,hit,longe,long,c
83.t7,lenge,þa,then,indeclinable
83.t8,þā,gen,yet,indeclinable
84.t1,þæt,þæt,that,indeclinable
84.t2,se,se,the,nsm
84.t3,ecghete,ecg-hete,sword-hate,ns
84.t4,āþumswēoran,aþum-sweoras,son-in-law and father-in-law,dp
85.t1,æfter,æfter,after,indeclinable
85.t2,wælnīðe,wæl-nið,deadly enmity,ds
85.t3,wæcnan,wæcnan,be born,i
85.t4,scolde.,sculan,should,p3s
86.t1,Ðā,þa,then,indeclinable
86.t2,se,se,the,nsm
86.t3,ellengǣst,ellen-gast,bold demon,ns
86.t4,earfoðlīce,earfoðlice,painfully,indeclinable
87.t1,þrāge,þrag,time of distress,as
87.t2,"geþolode,",geþolian,suffer,p3s
87.t3,sē,se,he,nsm
87.t4,þe,þe,who,in
87.t5,in,in,in,indeclinable
87.t6,þȳstrum,þystru,darkness,dp
87.t7,"bād,",bidan,dwell,p3s
88.t1,þæt,þæt,that,indeclinable
88.t2,hē,he,he,nsm
88.t3,dōgora,dogor,day,gp
88.t4,gehwām,gehwa,every,dsn
88.t5,drēam,dream,joy,as
88.t6,gehȳrde,gehyran,hear,p3s
89.t1,hlūdne,hlud,loud,asm
89.t2,in,in,in,indeclinable
89.t3,healle.,heall,hall,ds
89.t4,Þǣr,þær,there,indeclinable
89.t5,wæs,wesan,be,p3s
89.t6,hearpan,hearpe,harp,gs
89.t7,"swēg,",sweg,sound,ns
90.t1,swutol,sweotol,clear,nsm
90.t2,sang,sang,song,ns
90.t3,scopes.,scop,poet,gs
90.t4,Sægde,secgan,say,p3s
90.t5,sē,se,he,nsm
90.t6,þe,þe,who,in
90.t7,cūþe,cunnan,can,p3s
91.t1,frumsceaft,frumsceaft,origin,as
91.t2,fīra,firas,men,gp
91.t3,feorran,feorran,from far back,indeclinable
91.t4,"reccan,",reccan,recount,i
92.t1,cwæð,cweðan,say,p3s
92.t2,þæt,þæt,that,indeclinable
92.t3,se,se,the,nsm
92.t4,ælmihtiga,ælmihtig,almighty,nsm
92.t5,eorðan,eorðe,earth,as
92.t6,"worhte,",wyrcan,make,p3s
93.t1,wlitebeorhtne,wlite-beorht,shining,asm
93.t2,"wang,",wong,plain,as
93.t3,swā,swa,as far as,indeclinable
93.t4,wæter,wæter,water,ns
93.t5,"bebūgeð,",bebugan,surround,pr3s
94.t1,gesette,gesettan,set,p3s
94.t2,sigehrēþig,sige-hreðig,victorious,nsm
94.t3,sunnan,sunne,sun,as
94.t4,ond,ond,and,indeclinable
94.t5,"mōnan,",mona,moon,as
95.t1,lēoman,leoma,luminary,ap
95.t2,tō,to,as,indeclinable
95.t3,lēohte,leoht,light,ds
95.t4,"landbūendum,",land-buend,earth-dweller,dp
96.t1,ond,ond,and,indeclinable
96.t2,gefrætwade,gefrætwan,adorn,p3s
96.t3,foldan,folde,earth,gs
96.t4,scēatas,sceat,region,ap
97.t1,leomum,lim,branch,dp
97.t2,ond,ond,and,indeclinable
97.t3,"lēafum,",leaf,leaves,dp
97.t4,līf,lif,life,as
97.t5,ēac,eac,also,indeclinable
97.t6,gesceōp,gescyppan,create,p3s
98.t1,cynna,cynn,race,gp
98.t2,gehwylcum,gehwylc,every,dsn
98.t3,þāra,þæt,that,gpn
98.t4,ðe,þe,which,in
98.t5,cwice,cwic,alive,npn
98.t6,hwyrfaþ.,hwyrfan,move about,pr3p
99.t1,Swā,swa,thus,indeclinable
99.t2,ðā,se,the,npm
99.t3,drihtguman,dryht-guma,retainer,np
99.t4,drēamum,dream,joy,dp
99.t5,"lifdon,",libban,live,p3p
100.t1,"ēadiglīce,",eadiglice,happily,indeclinable
100.t2,oð,oð þæt,until,indeclinable
100.t3,ðæt,an,one,nsm
100.t4,ān,onginnan,begin,p3s
101.t1,fyrene,fyren,crime,as
101.t2,fremman,fremman,commit,i
101.t3,fēond,feond,fiend,ns
101.t4,on,on,in,indeclinable
101.t5,helle;,hell,hell,ds
102.t1,wæs,wesan,be,p3s
102.t2,se,se,the,nsm
102.t3,grimma,grimm,grim,nsm
102.t4,gǣst,gast,being,ns
102.t5,Grendel,Grendel,Grendel,ns
102.t6,"hāten,",hatan,call,pp
103.t1,mǣre,mære,famous,nsm
103.t2,"mearcstapa,",mearc-stapa,prowler of the borderlands,ns
103.t3,sē,se,he,nsm
103.t4,þe,þe,who,in
103.t5,mōras,mor,moor,ap
103.t6,"hēold,",healdan,hold,p3s
104.t1,fen,fen,marsh,as
104.t2,ond,ond,and,indeclinable
104.t3,fæsten;,fæsten,fastness,as
104.t4,fīfelcynnes,fifel-cynn,race of monsters,gs
104.t5,eard,eard,land,as
105.t1,wonsǣlī,wan-sælig,unhappy,nsm
105.t2,wer,wer,man,ns
105.t3,weardode,weardian,occupy,p3s
105.t4,"hwīle,",hwil,for a long time,as
106.t1,siþðan,siððan,after,indeclinable
106.t2,him,he,he,dsm
106.t3,scyppen,scyppend,creator,ns
106.t4,forscrifen,forscrifan,condemn,pp
106.t5,hæfde,habban,have,p3s
107.t1,in,in,in,indeclinable
107.t2,Cāines,Cain,Cain,gs
107.t3,cynne,cynn,race,ds
107.t4,–,se,the,asm
107.t5,þone,cwealm,murder,as
107.t6,cwealm,gewrecan,avenge,p3s
108.t1,ēċe,ece,eternal,nsm
108.t2,"drihten,",dryhten,Lord,ns
108.t3,þæs,þæs þe,because,indeclinable
108.t4,þe,he,he,nsm
108.t5,hē,Abel,Abel,as
108.t6,Ābel,slean,strike,p3s
109.t1,ne,ne,not,indeclinable
109.t2,gefeah,gefeon,rejoice,p3s
109.t3,hē,he,he,nsm
109.t4,þǣre,seo,the,gsf
109.t5,"fǣhðe,",fæhð,feud,gs
109.t6,ac,ac,but,indeclinable
109.t7,hē,he,he,nsm
109.t8,hine,he,he,asm
109.t9,feor,feor,far,indeclinable
109.t10,"forwræc,",forwrecan,banish,p3s
110.t1,metod,metod,God,ns
110.t2,for,for,for,indeclinable
110.t3,þȳ,þæt,that,isn
110.t4,māne,man,crime,is
110.t5,mancynne,monn-cynn,mankind,ds
110.t6,fram.,fram,from,indeclinable
111.t1,Þanon,þonan,thence,indeclinable
111.t2,untȳdras,untydre,evil progeny,np
111.t3,ealle,eall,all,npm
111.t4,"onwōcon,",onwæcnan,be born,p3p
112.t1,eotenas,eoten,giant,np
112.t2,ond,ond,and,indeclinable
112.t3,ylfe,ylfe,elves,np
112.t4,ond,ond,and,indeclinable
112.t5,"orcneas,",orcneas,evil spirits of the dead,np
113.t1,swylce,swylce,also,indeclinable
113.t2,"gīgantas,",gigant,titan,np
113.t3,þā,se,who,npm
113.t4,wið,wið,against,indeclinable
113.t5,Gode,God,God,ds
113.t6,wunnon,winnan,fight,p3p
114.t1,lange,long,long,asf
114.t2,þrāge;,þrag,time,as
114.t3,hē,he,he,nsm
114.t4,him,hie,they,dpm
114.t5,ðæs,þæt,that,gsn
114.t6,lēan,lean,reward,as
114.t7,forgeald.,forgyldan,give,p3s
115.t1,Gewāt,gewitan,go,p3s
115.t2,ðā,þa,then,indeclinable
115.t3,"nēosian,",neosan,seek out,i
115.t4,syþðan,siððan,when,indeclinable
115.t5,niht,niht,night,ns
115.t6,"becōm,",becuman,come,p3s
116.t1,hean,heah,high,gsn
116.t2,"hūses,",hus,house,gs
116.t3,hū,hu,how,indeclinable
116.t4,hit,hit,it,asn
116.t5,Hrinġ-Dene,Hring-Dene,Ring-Danes,np
117.t1,æfter,æfter,after,indeclinable
117.t2,bēorþege,beor-þegu,beer-drinking,ds
117.t3,gebūn,gebuan,occupy,pp
117.t4,hæfdon.,habban,have,p3p
118.t1,Fand,findan,find,p3s
118.t2,þā,þa,then,indeclinable
118.t3,ðǣr,þær,there,indeclinable
118.t4,inne,inne,inside,indeclinable
118.t5,æþelinga,æþeling,prince,gp
118.t6,gedriht,gedryht,retinue,as
119.t1,swefan,swefan,sleep,i
119.t2,æfter,æfter,after,indeclinable
119.t3,symble;,symbel,banquet,ds
119.t4,sorge,sorh,sorrow,as
119.t5,ne,ne,not,indeclinable
119.t6,"cūðon,",cunnan,know,p3p
120.t1,wonsceaft,wonsceaft,misery,as
120.t2,wera.,wer,man,gp
120.t3,Wiht,wiht,being,ns
120.t4,"unhǣlo,",unhælo,evil,gs
121.t1,grim,grimm,grim,nsf
121.t2,ond,ond,and,indeclinable
121.t3,"grǣdig,",grædig,greedy,nsf
121.t4,gearo,gearo,ready,nsf
121.t5,sōna,sona,immediately,indeclinable
121.t6,"wæs,",wesan,be,p3s
122.t1,rēoc,reoc,savage,nsf
122.t2,ond,ond,and,indeclinable
122.t3,"rēþe,",reþe,fierce,nsf
122.t4,ond,ond,and,indeclinable
122.t5,on,on,on,indeclinable
122.t6,ræste,rest,resting-place,ds
122.t7,genam,geniman,seize,p3s
123.t1,þrītig,þritig,thirty,apm
123.t2,þegna;,þegn,retainer,gp
123.t3,þanon,þonan,thence,indeclinable
123.t4,eft,eft,back,indeclinable
123.t5,gewāt,gewitan,go,p3s
124.t1,hūðe,huð,booty,ds
124.t2,hrēmig,hremig,exalting,nsf
124.t3,tō,to,to,indeclinable
124.t4,hām,ham,home,ds
124.t5,"faran,",faran,go,i
125.t1,mid,mid,with,indeclinable
125.t2,þǣre,seo,that,dsf
125.t3,wælfylle,wæl-fyllo,abundance of slain,ds
125.t4,wīca,wic,dwelling-place,gp
125.t5,nēosan.,neosan,seek out,i
126.t1,Ðā,þa,then,indeclinable
126.t2,wæs,wesan,be,p3s
126.t3,on,on,at,indeclinable
126.t4,ūhtan,uhta,time before daybreak,ds
126.t5,mid,mid,with,indeclinable
126.t6,ǣrdæge,ær-dæg,dawn,ds
127.t1,Grendles,Grendel,Grendel,gs
127.t2,gūðcræft,guð-cræft,battle-strength,ns
127.t3,gumum,guma,man,dp
127.t4,undyrne;,undyrne,manifest,nsm
128.t1,þā,þa,then,indeclinable
128.t2,wæs,wesan,be,p3s
128.t3,æfter,æfter,after,indeclinable
128.t4,wiste,wist,banquet,ds
128.t5,wōp,wop,wailing,ns
