ve_ref,value,lemma,gloss (eng),tag
1690.t4,"cyn,",cynn,race,as
1691.t1,frēcne,frecne,terribly,indeclinable
1691.t2,gefērdon;,geferan,fare,p3p
1691.t3,þæt,þæt,that,nsn
1691.t4,wæs,wesan,be,p3s
1691.t5,fremde,fremde,alien,nsf
1691.t6,þēod,þeod,people,ns
1692.t1,ēcean,ece,eternal,dsm
1692.t2,dryhtne;,dryhten,lord,ds
1692.t3,him,hie,they,dpm
1692.t4,þæs,þæt,that,gsn
1692.t5,endelēan,ende-lean,final reward,as
1693.t1,þurh,þurh,with,indeclinable
1693.t2,wæteres,wæter,water,gs
1693.t3,wylm,wylm,surge,as
1693.t4,waldend,wealdend,lord,ns
1693.t5,sealde.,sellan,give,p3s
1694.t1,Swā,swa,thus,indeclinable
1694.t2,wæs,wesan,be,p3s
1694.t3,on,on,on,indeclinable
1694.t4,ðǣm,þæt,the,dpn
1694.t5,scennum,scenn,plate,dp
1694.t6,scīran,scir,bright,gsn
1694.t7,goldes,gold,gold,gs
1695.t1,þurh,þurh,with,indeclinable
1695.t2,rūnstafas,run-stæf,runic letter,ap
1695.t3,rihte,rihte,correctly,indeclinable
1695.t4,"gemearcod,",mearcian,mark,pp
1696.t1,geseted,settan,set down,pp
1696.t2,ond,ond,and,indeclinable
1696.t3,"gesǣd,",secgan,say,pp
1696.t4,hwām,hwa,whom,dsm
1696.t5,þæt,þæt,that,nsn
1696.t6,sweord,sweord,sword,ns
1696.t7,"geworht,",gewyrcan,make,pp
1697.t1,īrena,iren,iron sword,gp
1697.t2,cyst,cyst,the best,ns
1697.t3,ǣrest,ærest,first,indeclinable
1697.t4,"wǣre,",wesan,be,pc3s
1698.t1,wreoþenhilt,wreoþen-hilt,with twisted hilt,nsn
1698.t2,ond,ond,and,indeclinable
1698.t3,wyrmfāh.,wyrm-fah,with serpentine ornamentation,nsn
1698.t4,Ðā,þa,then,indeclinable
1698.t5,se,se,the,nsm
1698.t6,wīsa,wis,wise,nsm
1698.t7,spræc,sprecan,speak,p3s
1699.t1,sunu,sunu,son,ns
1699.t2,Healfdenes;,Healfdene,Healfdene,gs
1699.t3,swīgedon,swigian,be silent,p3p
1699.t4,ealle:,eall,all,npm
1700.t1,"Þæt,",þæt,that,asn
1700.t2,"lā,",la,indeed,indeclinable
1700.t3,mæg,magan,can,pr3s
1700.t4,secgan,secgan,say,i
1700.t5,sē,se,he,nsm
1700.t6,þe,þe,who,in
1700.t7,sōð,soð,truth,as
1700.t8,ond,ond,and,indeclinable
1700.t9,riht,riht,right,as
1701.t1,fremeð,fremman,further,pr3s
1701.t2,on,on,in,indeclinable
1701.t3,"folce,",folc,people,ds
1701.t4,feor,feor,from far back,indeclinable
1701.t5,eal,eall,all,asn
1701.t6,"gemon,",gemunan,remember,pr3s
1702.t1,eald,eald,old,nsm
1702.t2,"ēþelweard,",eþel-weard,guardian of the native land,ns
1702.t3,þæt,þæt,that,indeclinable
1702.t4,ðes,þes,this,nsm
1702.t5,eorl,eorl,warrior,ns
1702.t6,wǣre,wesan,be,pc3s
1703.t1,geboren,geberan,bear,pp
1703.t2,betera.,betera,better,nsmc
1703.t3,Blǣd,blæd,glory,ns
1703.t4,is,beon,be,pr3s
1703.t5,ārǣred,aræran,establish,pp
1704.t1,geond,geond,throughout,indeclinable
1704.t2,"wīdwegas,",wid-weg,distant region,ap
1704.t3,wine,wine,friend,ns
1704.t4,mīn,min,my,nsm
1704.t5,"Bēowulf,",Beowulf,Beowulf,ns
1705.t1,ðīn,þin,your,nsm
1705.t2,ofer,ofer,over,indeclinable
1705.t3,þēoda,þeod,nation,gp
1705.t4,gehwylce.,gehwylc,every,asf
1705.t5,Eal,eall,all,asn
1705.t6,þū,þu,you,ns
1705.t7,hit,hit,it,asn
1705.t8,geþyldum,geþyld,patience (=steadily),dp
1705.t9,"healdest,",healdan,hold,pr2s
1706.t1,mægen,mægen,strength,as
1706.t2,mid,mid,with,indeclinable
1706.t3,mōdes,mod,mind,gs
1706.t4,snyttrum.,snyttru,wisdom,dp
1706.t5,Ic,ic,I,ns
1706.t6,þē,þu,you,ds
1706.t7,sceal,sculan,(future),pr1s
1706.t8,mīne,min,my,asf
1706.t9,gelǣstan,gelæstan,fulfil,i
1707.t1,"frēode,",freod,friendship,as
1707.t2,swā,swa,as,indeclinable
1707.t3,wit,wit,we two,nd
1707.t4,furðum,furþum,previously,indeclinable
1707.t5,sprǣcon.,sprecan,say,p1p
1707.t6,Ðū,þu,you,ns
1707.t7,scealt,sculan,(future),pr2s
1707.t8,tō,to,(weorðan to),indeclinable
1707.t9,frōfre,frofor,comfort,ds
1707.t10,weorþan,weorðan,become (+to),i
1708.t1,eal,eall,very,indeclinable
1708.t2,langtwidig,long-twidig,lasting,nsm
1708.t3,lēodum,leod,man,dp
1708.t4,"þīnum,",þin,your,dpm
1709.t1,hæleðum,hæle,man,dp
1709.t2,tō,to,(weorðan to),indeclinable
1709.t3,helpe.,help,help,ds
1709.t4,Ne,ne,not,indeclinable
1709.t5,wearð,weorðan,become,p3s
1709.t6,Heremōd,Heremod,Heremod,ns
1709.t7,swā,swa,so,indeclinable
1710.t1,eaforum,eafora,son,dp
1710.t2,"Ecgwelan,",Ecgwela,Ecgwela,gs
1710.t3,Ār-Scyldingum;,Ar-Scyldingas,Honour-Scyldings,dp
1711.t1,ne,ne,not,indeclinable
1711.t2,gewēox,geweaxan,grow (to be),p3s
1711.t3,hē,he,he,nsm
1711.t4,him,hie,they,dpm
1711.t5,tō,to,(geweaxan to),indeclinable
1711.t6,willan,willa,gratification,ds
1711.t7,ac,ac,but,indeclinable
1711.t8,tō,to,(geweaxan to),indeclinable
1711.t9,wælfealle,wæl-fyll,slaughter,ds
1712.t1,ond,ond,and,indeclinable
1712.t2,tō,to,(geweaxan to),indeclinable
1712.t3,dēaðcwalum,deað-cwalu,destruction,dp
1712.t4,Deniga,Dene,Danes,gp
1712.t5,lēodum;,leod,man,dp
1713.t1,brēat,breotan,cut down,p3s
1713.t2,bolgenmōd,bolgen-mod,enraged,nsm
1713.t3,"bēodgenēatas,",beod-geneat,table-companion,ap
1714.t1,"eaxlgesteallan,",eaxl-gestealla,shoulder companion,ap
1714.t2,oþ,oð þæt,until,indeclinable
1714.t3,þæt,he,he,nsm
1714.t4,hē,an,alone,nsm
1714.t5,āna,hweorfan,turn away,p3s
1715.t1,mǣre,mære,famous,nsm
1715.t2,þēoden,þeoden,lord,ns
1715.t3,mondrēamum,monn-dream,joy of men,dp
1715.t4,from.,fram,from,indeclinable
1716.t1,Ðēah,þeah þe,although,indeclinable
1716.t2,þe,he,he,asm
1716.t3,hine,mihtig,mighty,nsm
1716.t4,mihtig,God,God,ns
1716.t5,God,mægen,strength,gs
1716.t6,mægenes,wynn,joy,dp
1717.t1,eafeþum,eafoð,force,dp
1717.t2,stēpte,stepan,raise,pc3s
1717.t3,ofer,ofer,above,indeclinable
1717.t4,ealle,eall,all,apm
1717.t5,"men,",monn,man,ap
1718.t1,forð,forð,forward,indeclinable
1718.t2,"gefremede,",gefremman,advance,pc3s
1718.t3,hwæþere,hwæþre,however,indeclinable
1718.t4,him,he,he,dsm
1718.t5,on,on,in,indeclinable
1718.t6,ferhþe,ferhð,mind,ds
1718.t7,grēow,growan,grow,p3s
1719.t1,brēosthord,breost-hord,breast-hoard,ns
1719.t2,"blōdrēow,",blod-hreow,blood-thirsty,nsn
1719.t3,nallas,nealles,not at all,indeclinable
1719.t4,bēagas,beag,ring,ap
1719.t5,geaf,gifan,give,p3s
1720.t1,Denum,Dene,Danes,dp
1720.t2,æfter,æfter,in pursuit of,indeclinable
1720.t3,dōme;,dom,glory,ds
1720.t4,drēamlēas,dreamleas,joyless,nsm
1720.t5,gebād,gebidan,live to see,p3s
1721.t1,þæt,þæt,that,indeclinable
1721.t2,hē,he,he,nsm
1721.t3,þæs,þæt,that,gsn
1721.t4,gewinnes,gewinn,strife,gs
1721.t5,weorc,weorc,misery,as
1721.t6,"þrōwade,",þrowian,suffer,p3s
1722.t1,lēodbealo,leod-bealo,injury from the people,as
1722.t2,longsum.,longsum,long-lasting,asn
1722.t3,Ðū,þu,you,ns
1722.t4,þē,þu,you,as
1722.t5,lǣr,læran,teach,im2s
1722.t6,be,be,from,indeclinable
1722.t7,"þon,",þæt,that,isn
1723.t1,gumcyste,gum-cyst,manly virtue,ap
1723.t2,ongit;,ongitan,understand,im2s
1723.t3,iċ,ic,I,ns
1723.t4,þis,þis,this,asn
1723.t5,ġid,gidd,tale,as
1723.t6,be,be,for the sake of,indeclinable
1723.t7,þē,þu,you,ds
1724.t1,āwræc,awræcan,tell,p1s
1724.t2,wintrum,winter,winter,dp
1724.t3,frōd.,frod,old,nsm
1724.t4,Wundor,wundor,wonder,ns
1724.t5,is,beon,be,pr3s
1724.t6,tō,to,to,indeclinable
1724.t7,secganne,secgan,say,if
1725.t1,hū,hu,how,indeclinable
1725.t2,mihtig,mihtig,mighty,nsm
1725.t3,God,God,God,ns
1725.t4,manna,monn,man,gp
1725.t5,cynne,cynn,race,ds
1726.t1,þurh,þurh,in,indeclinable
1726.t2,sīdne,sid,ample,asm
1726.t3,sefan,sefa,spirit,as
1726.t4,snyttru,snyttru,wisdom,as
1726.t5,"bryttað,",bryttian,distribute,pr3s
1727.t1,eard,eard,land,as
1727.t2,ond,ond,and,indeclinable
1727.t3,eorlscipe;,eorlscipe,nobility,as
1727.t4,hē,he,he,nsm
1727.t5,āh,agan,have,pr3s
1727.t6,ealra,eall,all,gpn
1727.t7,geweald.,geweald,power,as
1728.t1,Hwīlum,hwil,time (=at times),dp
1728.t2,hē,he,he,nsm
1728.t3,on,on,in,indeclinable
1728.t4,lufan,lufu,delight,as
1728.t5,lǣteð,lætan,let,pr3s
1728.t6,hworfan,hweorfan,wander,i
1729.t1,monnes,monn,man,gs
1729.t2,mōdgeþonc,mod-geþanc,mind,as
1729.t3,mǣran,mære,famous,gsn
1729.t4,"cynnes,",cynn,race,gs
1730.t1,seleð,sellan,give,pr3s
1730.t2,him,he,he,dsm
1730.t3,on,on,in,indeclinable
1730.t4,ēþle,eþel,native land,ds
1730.t5,eorþan,eorðe,earth,gs
1730.t6,"wynne,",wynn,joy,as
1731.t1,tō,to,to,indeclinable
1731.t2,healdanne,healdan,hold,if
1731.t3,hlēoburh,hleo-burh,stronghold,as
1731.t4,"wera,",wer,man,gp
1732.t1,gedēð,gedon,make,pr3s
1732.t2,him,he,he,dsm
1732.t3,swā,swa,so,indeclinable
1732.t4,gewealdene,gewealdan,subject,ppapm
1732.t5,worolde,worold,world,gs
1732.t6,"dǣlas,",dæl,region,ap
1733.t1,sīde,sid,ample,asn
1733.t2,"rīce,",rice,kingdom,as
1733.t3,þæt,þæt,that,indeclinable
1733.t4,hē,he,he,nsm
1733.t5,his,hit,it,gsn
1733.t6,selfa,self,self,nsm
