named_entity_urn,ref,token_position
urn:cite2:hmt:place.v1:place388,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,87
urn:cite2:hmt:place.v1:place370,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,329
urn:cite2:hmt:place.v1:place380,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,265
urn:cite2:hmt:place.v1:place380,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,152
urn:cite2:hmt:place.v1:place190,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,218
urn:cite2:hmt:place.v1:place190,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,258
urn:cite2:exploreHomer:place.v1:place24,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,213
urn:cite2:exploreHomer:place.v1:place24,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,227
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,244
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,245
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,150
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,151
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,182
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,183
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,116
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,117
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,227
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,228
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,3
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,4
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,220
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,221
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,149
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,150
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.760,140
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.760,141
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,9
urn:cite2:exploreHomer:place.v1:place25,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,10
urn:cite2:hmt:place.v1:place308,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,206
urn:cite2:exploreHomer:place.v1:place26,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,2
urn:cite2:hmt:place.v1:place277,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,100
urn:cite2:exploreHomer:place.v1:place27,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,65
urn:cite2:hmt:place.v1:place386,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,349
urn:cite2:exploreHomer:place.v1:place28,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,285
urn:cite2:exploreHomer:place.v1:place28,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,315
urn:cite2:exploreHomer:place.v1:place29,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,88
urn:cite2:hmt:place.v1:place194,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,2
urn:cite2:hmt:place.v1:place394,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,292
urn:cite2:hmt:place.v1:place394,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,303
urn:cite2:hmt:place.v1:place394,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,344
urn:cite2:exploreHomer:place.v1:place30,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,137
urn:cite2:exploreHomer:place.v1:place31,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,339
urn:cite2:exploreHomer:place.v1:place32,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,343
urn:cite2:hmt:place.v1:place197,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,5
urn:cite2:hmt:place.v1:place322,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,144
urn:cite2:exploreHomer:place.v1:place33,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,180
