named_entity_urn,ref,token_position
urn:cite2:beyond-translation:place.atlas_v1:56,urn:cts:engLit:gibbon.decline.ccel-eng1:01.23.01,139
urn:cite2:beyond-translation:place.atlas_v1:16,urn:cts:engLit:gibbon.decline.ccel-eng1:01.24.01,67
urn:cite2:beyond-translation:place.atlas_v1:23,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,180
urn:cite2:beyond-translation:place.atlas_v1:1,urn:cts:engLit:gibbon.decline.ccel-eng1:01.02.02,195
urn:cite2:beyond-translation:place.atlas_v1:1,urn:cts:engLit:gibbon.decline.ccel-eng1:01.19.01,266
urn:cite2:beyond-translation:place.atlas_v1:1,urn:cts:engLit:gibbon.decline.ccel-eng1:01.34.01,32
urn:cite2:beyond-translation:place.atlas_v1:1,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.00,1
urn:cite2:beyond-translation:place.atlas_v1:1,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.01,9
urn:cite2:beyond-translation:place.atlas_v1:1,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.01,56
urn:cite2:beyond-translation:place.atlas_v1:1,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.01,268
urn:cite2:beyond-translation:place.atlas_v1:1,urn:cts:engLit:gibbon.decline.ccel-eng1:01.36.01,14
urn:cite2:beyond-translation:place.atlas_v1:3,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.01,113
urn:cite2:beyond-translation:place.atlas_v1:14,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,159
urn:cite2:beyond-translation:place.atlas_v1:9,urn:cts:engLit:gibbon.decline.ccel-eng1:01.06.01,253
urn:cite2:beyond-translation:place.atlas_v1:9,urn:cts:engLit:gibbon.decline.ccel-eng1:01.07.01,153
urn:cite2:beyond-translation:place.atlas_v1:19,urn:cts:engLit:gibbon.decline.ccel-eng1:01.36.01,153
urn:cite2:beyond-translation:place.atlas_v1:47,urn:cts:engLit:gibbon.decline.ccel-eng1:01.20.01,162
urn:cite2:beyond-translation:place.atlas_v1:47,urn:cts:engLit:gibbon.decline.ccel-eng1:01.20.01,245
urn:cite2:beyond-translation:place.atlas_v1:44,urn:cts:engLit:gibbon.decline.ccel-eng1:01.26.01,121
urn:cite2:beyond-translation:place.atlas_v1:44,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.00,2
urn:cite2:beyond-translation:place.atlas_v1:44,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.01,18
urn:cite2:beyond-translation:place.atlas_v1:44,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.01,98
urn:cite2:beyond-translation:place.atlas_v1:43,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,125
urn:cite2:beyond-translation:place.atlas_v1:15,urn:cts:engLit:gibbon.decline.ccel-eng1:01.06.01,209
urn:cite2:beyond-translation:place.atlas_v1:15,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.01,52
urn:cite2:beyond-translation:place.atlas_v1:15,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.01,84
urn:cite2:beyond-translation:place.atlas_v1:66,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.01,143
urn:cite2:beyond-translation:place.atlas_v1:54,urn:cts:engLit:gibbon.decline.ccel-eng1:01.19.01,231
urn:cite2:beyond-translation:place.atlas_v1:54,urn:cts:engLit:gibbon.decline.ccel-eng1:01.26.01,116
urn:cite2:beyond-translation:place.atlas_v1:54,urn:cts:engLit:gibbon.decline.ccel-eng1:01.28.00,3
urn:cite2:beyond-translation:place.atlas_v1:54,urn:cts:engLit:gibbon.decline.ccel-eng1:01.28.01,37
urn:cite2:beyond-translation:place.atlas_v1:62,urn:cts:engLit:gibbon.decline.ccel-eng1:01.24.01,72
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.02.02,176
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.05.01,92
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.05.01,253
