ve_ref,value,word_value,lemma,gloss,part_of_speech,tag,case,mood
48.132.t17,πλείστου,πλείστου,πολύς,1: talrijk,,a-s---ngs,,
48.132.t18,ποιητέον,ποιητέον,ποιέω,"1: maken, doen, handelen | dichten | doen",,v-s-g-nn-,,
48.132.t19,ἀλλὰ,ἀλλὰ,ἀλλά,1: maar,,b--------,,
48.132.t20,τὸ,τὸ,ὁ,1: ,article,l-s---na-,accusative,
48.132.t21,εὖ,εὖ,εὖ,"1: goed, wel",adverb,d--------,,
48.132.t22,ζῆν.,ζῆν,ζάω,,verb,v--pna---,,infinitive
48.132.t23,[0],[0],,,,,,
48.132.t24,[1],[1],,,,,,
48.133.t1,ἀλλὰ,ἀλλὰ,ἀλλά,1: maar,,b--------,,
48.133.t2,μένει.,μένει,μένω,"1: blijven; standhouden, voortbestaan | (ver)wachten",verb,v3spia---,,indicative
48.134.t1,τὸ,τὸ,ὁ,1: ,article,l-s---nn-,nominative,
48.134.t2,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
48.134.t3,εὖ,εὖ,εὖ,"1: goed, wel",adverb,d--------,,
48.134.t4,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.134.t5,καλῶς,καλῶς,καλός,1: mooi,adverb,d--------,,
48.134.t6,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.134.t7,δικαίως,δικαίως,δίκαιος,1: rechtvaardig,adverb,d--------,,
48.134.t8,ὅτι,ὅτι,ὅτι,"1: omdat, dat",conjunction,c--------,,
48.134.t9,ταὐτόν,ταὐτόν,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-s---nn-,nominative,
48.134.t10,"ἐστιν,",ἐστιν,εἰμί,1: gaan,verb,v3spia---,,indicative
48.134.t11,μένει,μένει,μένω,"1: blijven; standhouden, voortbestaan | (ver)wachten",verb,v3spia---,,indicative
48.134.t12,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),conjunction,c--------,,
48.134.t13,οὐ,οὐ,οὐ,1: niet,adverb,d--------,,
48.134.t14,μένει;,μένει,μένω,"1: blijven; standhouden, voortbestaan | (ver)wachten",verb,v3spia---,,indicative
48.135.t1,μένει.,μένει,μένω,"1: blijven; standhouden, voortbestaan | (ver)wachten",verb,v3spia---,,indicative
48.136.t1,οὐκοῦν,οὐκοῦν,οὐκοῦν,"1: wel dus | niet waar, dus niet?",adverb,d--------,,
48.136.t2,ἐκ,ἐκ,ἐκ,1: ,preposition,r--------,,
48.136.t3,τῶν,τῶν,ὁ,1: ,article,l-p---ng-,genitive,
48.136.t4,ὁμολογουμένων,ὁμολογουμένων,ὁμολογέω,"agree with, say the same thing as",verb,v-pppeng-,genitive,participle
48.136.t5,τοῦτο,τοῦτο,οὗτος,1: die (daar),pronoun,p-s---na-,accusative,
48.136.t6,"σκεπτέον,",σκεπτέον,σκέπτομαι,"1: (rond)kijken, beproeven",,v-s-g-nn-,,
48.136.t7,πότερον,πότερον,πότερον,,adverb,d--------,,
48.136.t8,δίκαιον,δίκαιον,δίκαιος,1: rechtvaardig,adjective,a-s---na-,accusative,
48.136.t9,ἐμὲ,ἐμὲ,ἐγώ,1: ik,,p1s---ca-,,
48.136.t10,ἐνθένδε,ἐνθένδε,ἐνθένδε,hence,adverb,d--------,,
48.136.t11,πειρᾶσθαι,πειρᾶσθαι,πειράω,1: beproeven | proberen,verb,v--pne---,,infinitive
48.136.t12,ἐξιέναι,ἐξιέναι,ἐξέρχομαι,1: buiten gaan | verlopen; aflopen,verb,v--pna---,,infinitive
48.136.t13,μὴ,μὴ,μή,1: niet,adverb,d--------,,
48.136.t14,ἀφιέντων,ἀφιέντων,ἀφίημι,"1: laten gaan, wegzenden | ophouden",verb,v-pppamg-,genitive,participle
48.136.t15,Ἀθηναίων,Ἀθηναίων,Ἀθηναῖος,,adjective,a-p---mg-,genitive,
48.136.t16,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),conjunction,c--------,,
48.136.t17,οὐ,οὐ,οὐ,1: niet,adverb,d--------,,
48.136.t18,δίκαιον·,δίκαιον,δίκαιος,1: rechtvaardig,adjective,a-s---na-,accusative,
48.136.t19,[0],[0],,,,,,
48.136.t20,[1],[1],,,,,,
48.136.t21,[2],[2],,,,,,
48.137.t1,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.137.t2,ἐὰν,ἐὰν,ἐάν,"if haply, if",conjunction,c--------,,
48.137.t3,μὲν,μὲν,μέν,1: wel...,adverb,d--------,,
48.137.t4,φαίνηται,φαίνηται,φαίνω,"1: laten zien, tonen | schijnen",verb,v3spse---,,subjunctive
48.137.t5,"δίκαιον,",δίκαιον,δίκαιος,1: rechtvaardig,adjective,a-s---nn-,nominative,
48.137.t6,"πειρώμεθα,",πειρώμεθα,πειράω,1: beproeven | proberen,verb,v1ppse---,,subjunctive
48.137.t7,εἰ,εἰ,εἰ,"1: als, indien, in geval | of",conjunction,c--------,,
48.137.t8,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
48.137.t9,"μή,",μή,μή,1: niet,adverb,d--------,,
48.137.t10,ἐῶμεν.,ἐῶμεν,ἐάω,"1: laten --> toelaten,gedogen | met rust laten | in de steek laten | nalaten, ophouden",verb,v1ppsa---,,subjunctive
48.137.t11,[0],[0],,,,,,
48.138.t1,ἃς,ἃς,ὅς,"1: die, dat",pronoun,p-p---fa-,accusative,
48.138.t2,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
48.138.t3,σὺ,σὺ,σύ,"1: jij, u",,p2s---cn-,,
48.138.t4,λέγεις,λέγεις,λέγω,"1: spreken, zeggen | verzamelen",verb,v2spia---,,indicative
48.138.t5,τὰς,τὰς,ὁ,1: ,article,l-p---fa-,accusative,
48.138.t6,σκέψεις,σκέψεις,σκέψις,"viewing, perception by the senses",noun,n-p---fa-,accusative,
48.138.t7,περί,περί,περί,"1: aangaande, over; ομ | om...heen, omstreeks; met betrekking tot",preposition,r--------,,
48.138.t8,τε,τε,τε,1: en,conjunction,c--------,,
48.138.t9,ἀναλώσεως,ἀναλώσεως,ἀνάλωσις,"outlay, expenditure",noun,n-s---fg-,genitive,
48.138.t10,χρημάτων,χρημάτων,χρῆμα,"1: gebruiksvoorwerp, zaak, ding | middelen --> geld",noun,n-p---ng-,genitive,
48.138.t11,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.138.t12,δόξης,δόξης,δόξα,expectation,noun,n-s---fg-,genitive,
48.138.t13,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.138.t14,παίδων,παίδων,παῖς,1: kind | (jonge) slaaf,,n-p---cg-,,
48.138.t15,"τροφῆς,",τροφῆς,τροφή,"nourishment, food",noun,n-s---fg-,genitive,
48.138.t16,μὴ,μὴ,μή,1: niet,conjunction,c--------,,
48.138.t17,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",adverb,d--------,,
48.138.t18,ἀληθῶς,ἀληθῶς,ἀληθής,"1: waar, echt",adverb,d--------,,
48.138.t19,"ταῦτα,",ταῦτα,οὗτος,1: die (daar),pronoun,p-p---nn-,nominative,
48.138.t20,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
48.138.t21,"Κρίτων,",Κρίτων,Κρίτων,,noun,n-s---mv-,vocative,
48.138.t22,σκέμματα,σκέμματα,σκέμμα,"subject for speculation or reflection, problem",noun,n-p---nn-,nominative,
48.138.t23,ᾖ,ᾖ,εἰμί,1: gaan,verb,v3spsa---,,subjunctive
48.138.t24,τῶν,τῶν,ὁ,1: ,article,l-p---mg-,genitive,
48.138.t25,ῥᾳδίως,ῥᾳδίως,ῥᾴδιος,1: gemakkelijk,adverb,d--------,,
48.138.t26,ἀποκτεινύντων,ἀποκτεινύντων,ἀποκτείνω,1: (laten) doden,verb,v-pppamg-,genitive,participle
48.138.t27,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.138.t28,ἀναβιωσκομένων,ἀναβιωσκομένων,ἀναβιώσκομαι,V A,verb,v-pppemg-,genitive,participle
48.138.t29,γ’,γ’,γε,"1: tenminste, inderdaad, juist",adverb,d--------,,
48.138.t30,"ἄν,",ἄν,ἄν,1: ,adverb,d--------,,
48.138.t31,εἰ,εἰ,εἰ,"1: als, indien, in geval | of",conjunction,c--------,,
48.138.t32,οἷοί,οἷοί,οἷος,1: (zo een)... als,pronoun,p-p---mn-,nominative,
48.138.t33,τ’,τ’,τε,1: en,conjunction,c--------,,
48.138.t34,"ἦσαν,",ἦσαν,εἰμί,1: gaan,verb,v3piia---,,indicative
48.138.t35,οὐδενὶ,οὐδενὶ,οὐδείς,"1: niemand, niets",pronoun,p-s---md-,dative,
48.138.t36,ξὺν,ξὺν,σύν,with.,preposition,r--------,,
48.138.t37,"νῷ,",νῷ,νόος,mind,noun,n-s---md-,dative,
48.138.t38,τούτων,τούτων,οὗτος,1: die (daar),pronoun,p-p---mg-,genitive,
48.138.t39,τῶν,τῶν,ὁ,1: ,article,l-p---mg-,genitive,
48.138.t40,πολλῶν.,πολλῶν,πολύς,1: talrijk,adjective,a-p---mg-,genitive,
48.138.t41,[0],[0],,,,,,
48.139.t1,ἡμῖν,ἡμῖν,ἐγώ,1: ik,,p1p---cd-,,
48.139.t2,"δ’,",δ’,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
48.139.t3,ἐπειδὴ,ἐπειδὴ,ἐπειδή,,conjunction,c--------,,
48.139.t4,ὁ,ὁ,ὁ,1: ,article,l-s---mn-,nominative,
48.139.t5,λόγος,λόγος,λόγος,"1: rede, woord, mededeling",noun,n-s---mn-,nominative,
48.139.t6,οὕτως,οὕτως,οὕτως,"1: zo, op die wijze",adverb,d--------,,
48.139.t7,"αἱρεῖ,",αἱρεῖ,αἱρέω,"1: grijpen, nemen; (ver)krijgen | (ver)kiezen",verb,v3spia---,,indicative
48.139.t8,μὴ,μὴ,μή,1: niet,conjunction,c--------,,
48.139.t9,οὐδὲν,οὐδὲν,οὐδείς,"1: niemand, niets",pronoun,p-s---nn-,nominative,
48.139.t10,ἄλλο,ἄλλο,ἄλλος,1: ander,pronoun,p-s---nn-,nominative,
48.139.t11,σκεπτέον,σκεπτέον,σκέπτομαι,"1: (rond)kijken, beproeven",,v-s-g-nn-,,
48.139.t12,ᾖ,ᾖ,εἰμί,1: gaan,verb,v3spsa---,,subjunctive
48.139.t13,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),conjunction,c--------,,
48.139.t14,ὅπερ,ὅπερ,ὅς,"1: die, dat",pronoun,p-s---na-,accusative,
48.139.t15,νυνδὴ,νυνδὴ,νυνδί,,adverb,d--------,,
48.139.t16,"ἐλέγομεν,",ἐλέγομεν,λέγω,"1: spreken, zeggen | verzamelen",verb,v1piia---,,indicative
48.139.t17,πότερον,πότερον,πότερον,,adverb,d--------,,
48.139.t18,δίκαια,δίκαια,δίκαιος,1: rechtvaardig,adjective,a-p---na-,accusative,
48.139.t19,πράξομεν,πράξομεν,πράσσω,,verb,v1pfia---,,indicative
48.139.t20,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.139.t21,χρήματα,χρήματα,χρῆμα,"1: gebruiksvoorwerp, zaak, ding | middelen --> geld",noun,n-p---na-,accusative,
48.139.t22,τελοῦντες,τελοῦντες,τελέω,"fulfil, accomplish, execute, perform",verb,v-pppamn-,nominative,participle
48.139.t23,τούτοις,τούτοις,οὗτος,1: die (daar),pronoun,p-p---md-,dative,
48.139.t24,τοῖς,τοῖς,ὁ,1: ,article,l-p---md-,dative,
48.139.t25,ἐμὲ,ἐμὲ,ἐγώ,1: ik,,p1s---ca-,,
48.139.t26,ἐνθένδε,ἐνθένδε,ἐνθένδε,hence,adverb,d--------,,
48.139.t27,ἐξάξουσιν,ἐξάξουσιν,ἐξάγνυμι,"break and tear away, rend",,v-pfpamd-,,
48.139.t28,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.139.t29,"χάριτας,",χάριτας,χάρις,1: gunst | genade,noun,n-p---fa-,accusative,
48.139.t30,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.139.t31,αὐτοὶ,αὐτοὶ,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-p---mn-,nominative,
48.139.t32,ἐξάγοντές,ἐξάγοντές,ἐξάγω,"1: wegleiden, uitleiden | opbouwen",verb,v-pppamn-,nominative,participle
48.139.t33,τε,τε,τε,1: en,conjunction,c--------,,
48.139.t34,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.139.t35,"ἐξαγόμενοι,",ἐξαγόμενοι,ἐξάγω,"1: wegleiden, uitleiden | opbouwen",verb,v-pppemn-,nominative,participle
48.139.t36,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),conjunction,c--------,,
48.139.t37,τῇ,τῇ,ὁ,1: ,article,l-s---fd-,dative,
48.139.t38,ἀληθείᾳ,ἀληθείᾳ,ἀλήθεια,truth,noun,n-s---fd-,dative,
48.139.t39,ἀδικήσομεν,ἀδικήσομεν,ἀδικέω,1: onrechtvaardig handelen | schade berokkenen,verb,v1pfia---,,indicative
48.139.t40,πάντα,πάντα,πᾶς,1: geheel | elk | alle,adjective,a-p---na-,accusative,
48.139.t41,ταῦτα,ταῦτα,οὗτος,1: die (daar),pronoun,p-p---na-,accusative,
48.139.t42,ποιοῦντες·,ποιοῦντες,ποιέω,"1: maken, doen, handelen | dichten | doen",verb,v-pppamn-,nominative,participle
48.139.t43,[0],[0],,,,,,
48.140.t1,κἂν,κἂν,κἄν,even,conjunction,c--------,,
48.140.t2,φαινώμεθα,φαινώμεθα,φαίνω,"1: laten zien, tonen | schijnen",verb,v1ppse---,,subjunctive
48.140.t3,ἄδικα,ἄδικα,ἄδικος,1: onrechtvaardig,adjective,a-p---na-,accusative,
48.140.t4,αὐτὰ,αὐτὰ,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-p---na-,accusative,
48.140.t5,"ἐργαζόμενοι,",ἐργαζόμενοι,ἐργάζομαι,1: (be)werken,verb,v-pppemn-,nominative,participle
48.140.t6,μὴ,μὴ,μή,1: niet,conjunction,c--------,,
48.140.t7,οὐ,οὐ,οὐ,1: niet,adverb,d--------,,
48.140.t8,δέῃ,δέῃ,δέω,1: ,verb,v3spsa---,,subjunctive
48.140.t9,ὑπολογίζεσθαι,ὑπολογίζεσθαι,ὑπολογίζομαι,"take into account, take account of",verb,v--pne---,,infinitive
48.140.t10,οὔτ’,οὔτ’,οὔτε,1: noch,adverb,d--------,,
48.140.t11,εἰ,εἰ,εἰ,"1: als, indien, in geval | of",conjunction,c--------,,
48.140.t12,ἀποθνῄσκειν,ἀποθνῄσκειν,ἀποθνῄσκω,1: sterven,verb,v--pna---,,infinitive
48.140.t13,δεῖ,δεῖ,δέω,1: ,verb,v3spia---,,indicative
48.140.t14,παραμένοντας,παραμένοντας,παραμένω,"stay beside or near, stand by",verb,v-pppama-,accusative,participle
48.140.t15,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.140.t16,ἡσυχίαν,ἡσυχίαν,ἡσυχία,"rest, quiet",noun,n-s---fa-,accusative,
48.140.t17,"ἄγοντας,",ἄγοντας,ἄγω,"1: voeren, brengen, leiden  | (be)drijven, organiseren",verb,v-pppama-,accusative,participle
48.140.t18,οὔτε,οὔτε,οὔτε,1: noch,conjunction,c--------,,
48.140.t19,ἄλλο,ἄλλο,ἄλλος,1: ander,pronoun,p-s---na-,accusative,
48.140.t20,ὁτιοῦν,ὁτιοῦν,ὁστισοῦν,,pronoun,p-s---na-,accusative,
48.140.t21,πάσχειν,πάσχειν,πάσχω,"1: ervaren, lijden",verb,v--pna---,,infinitive
48.140.t22,πρὸ,πρὸ,πρό,"1: vóór (tijd, plaats) | in het belang van",preposition,r--------,,
48.140.t23,τοῦ,τοῦ,ὁ,1: ,,l-s---ng-,,
48.140.t24,ἀδικεῖν.,ἀδικεῖν,ἀδικέω,1: onrechtvaardig handelen | schade berokkenen,verb,v--pna---,,infinitive
48.140.t25,[0],[0],,,,,,
48.141.t1,καλῶς,καλῶς,καλός,1: mooi,adverb,d--------,,
48.141.t2,μέν,μέν,μέν,1: wel...,adverb,d--------,,
48.141.t3,μοι,μοι,ἐγώ,1: ik,,p1s---cd-,,
48.141.t4,δοκεῖς,δοκεῖς,δοκέω,"1: menen, geloven, zich verbeelden | beslissen | lijken, beschouwd worden als, doorgaan voor | het lijkt iemand; iemand beslist",verb,v2spia---,,indicative
48.141.t5,"λέγειν,",λέγειν,λέγω,"1: spreken, zeggen | verzamelen",verb,v--pna---,,infinitive
48.141.t6,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
48.141.t7,"Σώκρατες,",Σώκρατες,Σωκράτης,,noun,n-s---mv-,vocative,
48.141.t8,ὅρα,ὅρα,ὁράω,1: zien,verb,v2spma---,,imperative
48.141.t9,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
48.141.t10,τί,τί,τίς,"1: wie?, welke?",pronoun,p-s---na-,accusative,
48.141.t11,δρῶμεν.,δρῶμεν,δράω,"do, accomplish",verb,v1ppia---,,indicative
48.142.t1,"σκοπῶμεν,",σκοπῶμεν,σκοπέω,"1: bekijken, onderzoeken",verb,v1ppsa---,,subjunctive
48.142.t2,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
48.142.t3,"ἀγαθέ,",ἀγαθέ,ἀγαθός,"1: goed, edel",adjective,a-s---mv-,vocative,
48.142.t4,"κοινῇ,",κοινῇ,κοινῇ,,adverb,d--------,,
48.142.t5,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.142.t6,εἴ,εἴ,εἰ,"1: als, indien, in geval | of",conjunction,c--------,,
48.142.t7,πῃ,πῃ,πη,"somewhere, anywhere",adverb,d--------,,
48.142.t8,ἔχεις,ἔχεις,ἔχω,"1: hebben, houden | iets zijn | zich vastklampen",verb,v2spia---,,indicative
48.142.t9,ἀντιλέγειν,ἀντιλέγειν,ἀντιλέγω,1: tegenspreken,verb,v--pna---,,infinitive
48.142.t10,ἐμοῦ,ἐμοῦ,ἐγώ,1: ik,,p1s---cg-,,
48.142.t11,"λέγοντος,",λέγοντος,λέγω,"1: spreken, zeggen | verzamelen",verb,v-sppamg-,genitive,participle
48.142.t12,ἀντίλεγε,ἀντίλεγε,ἀντιλέγω,1: tegenspreken,verb,v2spma---,,imperative
48.142.t13,καί,καί,καί,"1: en | ook, zelfs",,b--------,,
48.142.t14,σοι,σοι,σύ,"1: jij, u",,p2s---cd-,,
48.142.t15,πείσομαι·,πείσομαι,πείθω,1: overtuiging,verb,v1sfim---,,indicative
48.143.t1,εἰ,εἰ,εἰ,"1: als, indien, in geval | of",conjunction,c--------,,
48.143.t2,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
48.143.t3,"μή,",μή,μή,1: niet,adverb,d--------,,
48.143.t4,παῦσαι,παῦσαι,παύω,1: doen ophouden | ophouden,verb,v2samm---,,imperative
48.143.t5,"ἤδη,",ἤδη,ἤδη,"1: reeds, al | vanaf nu",adverb,d--------,,
48.143.t6,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
48.143.t7,"μακάριε,",μακάριε,μακάριος,"blessed, happy",adjective,a-s---mv-,vocative,
48.143.t8,πολλάκις,πολλάκις,πολλάκις,1: dikwijls,adverb,d--------,,
48.143.t9,μοι,μοι,ἐγώ,1: ik,,p1s---cd-,,
48.143.t10,λέγων,λέγων,λέγω,"1: spreken, zeggen | verzamelen",verb,v-sppamn-,nominative,participle
48.143.t11,τὸν,τὸν,ὁ,1: ,article,l-s---ma-,accusative,
48.143.t12,αὐτὸν,αὐτὸν,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-s---ma-,accusative,
48.143.t13,"λόγον,",λόγον,λόγος,"1: rede, woord, mededeling",noun,n-s---ma-,accusative,
48.143.t14,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",conjunction,c--------,,
48.143.t15,χρὴ,χρὴ,χρή,1: het is nodig,verb,v3spia---,,indicative
48.143.t16,ἐνθένδε,ἐνθένδε,ἐνθένδε,hence,adverb,d--------,,
48.143.t17,ἀκόντων,ἀκόντων,ἄκων,"javelin, dart",adjective,a-p---mg-,genitive,
48.143.t18,Ἀθηναίων,Ἀθηναίων,Ἀθηναῖος,,adjective,a-p---mg-,genitive,
48.143.t19,ἐμὲ,ἐμὲ,ἐγώ,1: ik,,p1s---ca-,,
48.143.t20,ἀπιέναι·,ἀπιέναι,ἀπέρχομαι,"1: weggaan, vertrekken",verb,v--pna---,,infinitive
48.143.t21,[0],[0],,,,,,
48.144.t1,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",conjunction,c--------,,
48.144.t2,ἐγὼ,ἐγὼ,ἐγώ,1: ik,,p1s---cn-,,
48.144.t3,περὶ,περὶ,περί,"1: aangaande, over; ομ | om...heen, omstreeks; met betrekking tot",preposition,r--------,,
48.144.t4,πολλοῦ,πολλοῦ,πολύς,1: talrijk,adjective,a-s---ng-,genitive,
48.144.t5,ποιοῦμαι,ποιοῦμαι,ποιέω,"1: maken, doen, handelen | dichten | doen",verb,v1spie---,,indicative
48.144.t6,πείσας,πείσας,πείθω,1: overtuiging,verb,v-sapamn-,nominative,participle
48.144.t7,σε,σε,σύ,"1: jij, u",,p2s---ca-,,
48.144.t8,ταῦτα,ταῦτα,οὗτος,1: die (daar),pronoun,p-p---na-,accusative,
48.144.t9,"πράττειν,",πράττειν,πράσσω,,verb,v--pna---,,infinitive
48.144.t10,ἀλλὰ,ἀλλὰ,ἀλλά,1: maar,,b--------,,
48.144.t11,μὴ,μὴ,μή,1: niet,adverb,d--------,,
48.144.t12,ἄκοντος.,ἄκοντος,ἄκων,"javelin, dart",adjective,a-s---mg-,genitive,
48.144.t13,[0],[0],,,,,,
48.144.t14,[1],[1],,,,,,
48.145.t1,ὅρα,ὅρα,ὁράω,1: zien,verb,v2spma---,,imperative
48.145.t2,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
48.145.t3,δὴ,δὴ,δή,"1: al, reeds | dus, dan toch",adverb,d--------,,
48.145.t4,τῆς,τῆς,ὁ,1: ,article,l-s---fg-,genitive,
48.145.t5,σκέψεως,σκέψεως,σκέψις,"viewing, perception by the senses",noun,n-s---fg-,genitive,
48.145.t6,τὴν,τὴν,ὁ,1: ,article,l-s---fa-,accusative,
48.145.t7,ἀρχὴν,ἀρχὴν,ἀρχή,"1: begin | beginsel, principe | heerschappij | functie, magistratuur",noun,n-s---fa-,accusative,
48.145.t8,ἐάν,ἐάν,ἐάν,"if haply, if",conjunction,c--------,,
48.145.t9,σοι,σοι,σύ,"1: jij, u",,p2s---cd-,,
48.145.t10,ἱκανῶς,ἱκανῶς,ἱκανός,"sufficing, becoming, befitting",adverb,d--------,,
48.145.t11,"λέγηται,",λέγηται,λέγω,"1: spreken, zeggen | verzamelen",verb,v3spse---,,subjunctive
48.145.t12,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
48.145.t13,πειρῶ,πειρῶ,πειράω,1: beproeven | proberen,verb,v2spme---,,imperative
48.145.t14,ἀποκρίνεσθαι,ἀποκρίνεσθαι,ἀποκρίνω,1: afzonderen | antwoorden | zich verantwoorden,verb,v--pne---,,infinitive
48.145.t15,τὸ,τὸ,ὁ,1: ,article,l-s---na-,accusative,
48.145.t16,ἐρωτώμενον,ἐρωτώμενον,ἐρωτάω,1: ondervragen,verb,v-sppena-,accusative,participle
48.145.t17,ᾗ,ᾗ,ᾗ,"which way, where, whither",adverb,d--------,,
48.145.t18,ἂν,ἂν,ἄν,1: ,adverb,d--------,,
48.145.t19,μάλιστα,μάλιστα,μάλα,"1: zeer, veel",adverb,d-------s,,
48.145.t20,οἴῃ.,οἴῃ,οἴομαι,"1: menen, geloven, veronderstellen",verb,v2spse---,,subjunctive
49.146.t1,ἀλλὰ,ἀλλὰ,ἀλλά,1: maar,,b--------,,
49.146.t2,πειράσομαι.,πειράσομαι,πειράω,1: beproeven | proberen,verb,v1sfim---,,indicative
49.147.t1,οὐδενὶ,οὐδενὶ,οὐδείς,"1: niemand, niets",pronoun,p-s---md-,dative,
49.147.t2,τρόπῳ,τρόπῳ,τρόπος,"1: manier, wending | karakter",noun,n-s---md-,dative,
49.147.t3,φαμὲν,φαμὲν,φημί,1: beweren,verb,v1ppia---,,indicative
49.147.t4,ἑκόντας,ἑκόντας,ἑκών,váśmi,adjective,a-p---ma-,accusative,
49.147.t5,ἀδικητέον,ἀδικητέον,ἀδικέω,1: onrechtvaardig handelen | schade berokkenen,,v-s-g-na-,,
49.147.t6,"εἶναι,",εἶναι,εἰμί,1: gaan,verb,v--pna---,,infinitive
49.147.t7,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),conjunction,c--------,,
49.147.t8,τινὶ,τινὶ,τις,"1: wie?, welke?",,p-s---cd-,,
49.147.t9,μὲν,μὲν,μέν,1: wel...,adverb,d--------,,
49.147.t10,ἀδικητέον,ἀδικητέον,ἀδικέω,1: onrechtvaardig handelen | schade berokkenen,,v-s-g-na-,,
49.147.t11,τρόπῳ,τρόπῳ,τρόπος,"1: manier, wending | karakter",noun,n-s---md-,dative,
49.147.t12,τινὶ,τινὶ,τις,"1: wie?, welke?",,p-s---cd-,,
49.147.t13,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
49.147.t14,οὔ;,οὔ,οὐ,1: niet,adverb,d--------,,
49.147.t15,[0],[0],,,,,,
49.147.t16,[1],[1],,,,,,
49.148.t1,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),,b--------,,
49.148.t2,οὐδαμῶς,οὐδαμῶς,οὐδαμῶς,in no wise,adverb,d--------,,
49.148.t3,τό,τό,ὁ,1: ,article,l-s---nn-,nominative,
49.148.t4,γε,γε,γε,"1: tenminste, inderdaad, juist",adverb,d--------,,
49.148.t5,ἀδικεῖν,ἀδικεῖν,ἀδικέω,1: onrechtvaardig handelen | schade berokkenen,verb,v--pna---,,infinitive
49.148.t6,οὔτε,οὔτε,οὔτε,1: noch,conjunction,c--------,,
49.148.t7,ἀγαθὸν,ἀγαθὸν,ἀγαθός,"1: goed, edel",adjective,a-s---nn-,nominative,
49.148.t8,οὔτε,οὔτε,οὔτε,1: noch,conjunction,c--------,,
49.148.t9,"καλόν,",καλόν,καλός,1: mooi,adjective,a-s---nn-,nominative,
49.148.t10,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",conjunction,c--------,,
49.148.t11,πολλάκις,πολλάκις,πολλάκις,1: dikwijls,adverb,d--------,,
49.148.t12,ἡμῖν,ἡμῖν,ἐγώ,1: ik,,p1p---cd-,,
49.148.t13,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
49.148.t14,ἐν,ἐν,ἐν,"1: in, binnenin, temidden van",preposition,r--------,,
49.148.t15,τῷ,τῷ,ὁ,1: ,article,l-s---md-,dative,
