ve_ref,value,word_value,lemma,gloss,part_of_speech,tag,case,mood
46.85.t27,περὶ,περὶ,περί,"1: aangaande, over; ομ | om...heen, omstreeks; met betrekking tot",preposition,r--------,,
46.85.t28,πολλοῦ,πολλοῦ,πολύς,1: talrijk,adjective,a-s---ng-,genitive,
46.85.t29,"ποιεῖσθαι,",ποιεῖσθαι,ποιέω,"1: maken, doen, handelen | dichten | doen",verb,v--pne---,,infinitive
46.85.t30,τὰς,τὰς,ὁ,1: ,article,l-p---fa-,accusative,
46.85.t31,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
46.85.t32,μή.,μή,μή,1: niet,adverb,d--------,,
46.86.t1,τοῦτο,τοῦτο,οὗτος,1: die (daar),pronoun,p-s---na-,accusative,
46.86.t2,πρὸς,πρὸς,πρός,"1: vanwege, van de kant van | bij | naar, tegen; met betrekking tot",preposition,r--------,,
46.86.t3,"θεῶν,",θεῶν,θεός,1: god(heid),noun,n-p---mg-,genitive,
46.86.t4,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
46.86.t5,"Κρίτων,",Κρίτων,Κρίτων,,noun,n-s---mv-,vocative,
46.86.t6,οὐ,οὐ,οὐ,1: niet,adverb,d--------,,
46.86.t7,δοκεῖ,δοκεῖ,δοκέω,"1: menen, geloven, zich verbeelden | beslissen | lijken, beschouwd worden als, doorgaan voor | het lijkt iemand; iemand beslist",verb,v3spia---,,indicative
46.86.t8,καλῶς,καλῶς,καλός,1: mooi,adverb,d--------,,
46.86.t9,σοι,σοι,σύ,"1: jij, u",,p2s---cd-,,
46.86.t10,λέγεσθαι;,λέγεσθαι,λέγω,"1: spreken, zeggen | verzamelen",verb,v--pne---,,infinitive
47.87.t1,σὺ,σὺ,σύ,"1: jij, u",,p2s---cn-,,
47.87.t2,"γάρ,",γάρ,γάρ,"1: want, immers, namelijk | (in levendige vragen) toch, dan?",adverb,d--------,,
47.87.t3,ὅσα,ὅσα,ὅσος,1: zo groot als,pronoun,p-p---na-,accusative,
47.87.t4,γε,γε,γε,"1: tenminste, inderdaad, juist",adverb,d--------,,
47.87.t5,"τἀνθρώπεια,",τἀνθρώπεια,ἀνθρώπειος,human,adjective,a-p---nn-,nominative,
47.87.t6,ἐκτὸς,ἐκτὸς,ἐκτός,"without, outside",adverb,d--------,,
47.87.t7,εἶ,εἶ,εἰμί,1: gaan,verb,v2spia---,,indicative
47.87.t8,τοῦ,τοῦ,ὁ,1: ,,l-s---ng-,,
47.87.t9,μέλλειν,μέλλειν,μέλλω,"1: op het punt zijn te, van plan zijn te | treuzelen",verb,v--pna---,,infinitive
47.87.t10,ἀποθνῄσκειν,ἀποθνῄσκειν,ἀποθνῄσκω,1: sterven,verb,v--pna---,,infinitive
47.87.t11,"αὔριον,",αὔριον,αὔριον,to-morrow,adverb,d--------,,
47.87.t12,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
47.87.t13,οὐκ,οὐκ,οὐ,1: niet,adverb,d--------,,
47.87.t14,ἂν,ἂν,ἄν,1: ,adverb,d--------,,
47.87.t15,σὲ,σὲ,σύ,"1: jij, u",,p2s---ca-,,
47.87.t16,παρακρούοι,παρακρούοι,παρακρούω,strike aside,verb,v3spoa---,,optative
47.87.t17,ἡ,ἡ,ὁ,1: ,article,l-s---fn-,nominative,
47.87.t18,παροῦσα,παροῦσα,πάρειμι,1: aanwezig zijn,verb,v-sppafn-,nominative,participle
47.87.t19,συμφορά·,συμφορά,συμφορά,"1: gebeurtenis, ongeluk",noun,n-s---fn-,nominative,
47.87.t20,[1],[1],,,,,,
47.88.t1,σκόπει,σκόπει,σκοπέω,"1: bekijken, onderzoeken",verb,v2spma---,,imperative
47.88.t2,δή—,δή,δή,"1: al, reeds | dus, dan toch",adverb,d--------,,
47.88.t3,οὐχ,οὐχ,οὐ,1: niet,adverb,d--------,,
47.88.t4,ἱκανῶς,ἱκανῶς,ἱκανός,"sufficing, becoming, befitting",adverb,d--------,,
47.88.t5,δοκεῖ,δοκεῖ,δοκέω,"1: menen, geloven, zich verbeelden | beslissen | lijken, beschouwd worden als, doorgaan voor | het lijkt iemand; iemand beslist",verb,v3spia---,,indicative
47.88.t6,σοι,σοι,σύ,"1: jij, u",,p2s---cd-,,
47.88.t7,λέγεσθαι,λέγεσθαι,λέγω,"1: spreken, zeggen | verzamelen",verb,v--pne---,,infinitive
47.88.t8,ὅτι,ὅτι,ὅτι,"1: omdat, dat",conjunction,c--------,,
47.88.t9,οὐ,οὐ,οὐ,1: niet,adverb,d--------,,
47.88.t10,πάσας,πάσας,πᾶς,1: geheel | elk | alle,adjective,a-p---fa-,accusative,
47.88.t11,χρὴ,χρὴ,χρή,1: het is nodig,verb,v3spia---,,indicative
47.88.t12,τὰς,τὰς,ὁ,1: ,article,l-p---fa-,accusative,
47.88.t13,δόξας,δόξας,δόξα,expectation,noun,n-p---fa-,accusative,
47.88.t14,τῶν,τῶν,ὁ,1: ,article,l-p---mg-,genitive,
47.88.t15,ἀνθρώπων,ἀνθρώπων,ἄνθρωπος,1: mens,noun,n-p---mg-,genitive,
47.88.t16,τιμᾶν,τιμᾶν,τιμάω,"honour, revere, reverence",verb,v--pna---,,infinitive
47.88.t17,ἀλλὰ,ἀλλὰ,ἀλλά,1: maar,,b--------,,
47.88.t18,τὰς,τὰς,ὁ,1: ,article,l-p---fa-,accusative,
47.88.t19,"μέν,",μέν,μέν,1: wel...,adverb,d--------,,
47.88.t20,τὰς,τὰς,ὁ,1: ,article,l-p---fa-,accusative,
47.88.t21,δ’,δ’,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
47.88.t22,"οὔ,",οὔ,οὐ,1: niet,adverb,d--------,,
47.88.t23,οὐδὲ,οὐδὲ,οὐδέ,"1: en niet, zelfs niet, en ook niet",adverb,d--------,,
47.88.t24,πάντων,πάντων,πᾶς,1: geheel | elk | alle,adjective,a-p---mg-,genitive,
47.88.t25,ἀλλὰ,ἀλλὰ,ἀλλά,1: maar,,b--------,,
47.88.t26,τῶν,τῶν,ὁ,1: ,article,l-p---mg-,genitive,
47.88.t27,"μέν,",μέν,μέν,1: wel...,adverb,d--------,,
47.88.t28,τῶν,τῶν,ὁ,1: ,article,l-p---mg-,genitive,
47.88.t29,δ’,δ’,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
47.88.t30,οὔ;,οὔ,οὐ,1: niet,adverb,d--------,,
47.89.t1,τί,τί,τίς,"1: wie?, welke?",pronoun,p-s---na-,accusative,
47.89.t2,φῄς;,φῄς,φημί,1: beweren,verb,v2spia---,,indicative
47.90.t1,ταῦτα,ταῦτα,οὗτος,1: die (daar),pronoun,p-p---nn-,nominative,
47.90.t2,οὐχὶ,οὐχὶ,οὐ,1: niet,adverb,d--------,,
47.90.t3,καλῶς,καλῶς,καλός,1: mooi,adverb,d--------,,
47.90.t4,λέγεται;,λέγεται,λέγω,"1: spreken, zeggen | verzamelen",verb,v3spie---,,indicative
47.91.t1,καλῶς.,καλῶς,καλός,1: mooi,adverb,d--------,,
47.91.t2,[0],[0],,,,,,
47.92.t1,οὐκοῦν,οὐκοῦν,οὐκοῦν,"1: wel dus | niet waar, dus niet?",adverb,d--------,,
47.92.t2,τὰς,τὰς,ὁ,1: ,article,l-p---fa-,accusative,
47.92.t3,μὲν,μὲν,μέν,1: wel...,adverb,d--------,,
47.92.t4,χρηστὰς,χρηστὰς,χρηστός,"1: bruikbaar, nuttig | flink, goed(hartig)",adjective,a-p---fa-,accusative,
47.92.t5,"τιμᾶν,",τιμᾶν,τιμάω,"honour, revere, reverence",verb,v--pna---,,infinitive
47.92.t6,τὰς,τὰς,ὁ,1: ,article,l-p---fa-,accusative,
47.92.t7,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
47.92.t8,πονηρὰς,πονηρὰς,πονηρός,"1: slecht, boos",adjective,a-p---fa-,accusative,
47.92.t9,μή;,μή,μή,1: niet,adverb,d--------,,
47.92.t10,[0],[0],,,,,,
47.93.t1,ναί.,ναί,ναί,"1: ja, zeker",interjection,i--------,,
47.93.t2,[0],[0],,,,,,
47.94.t1,χρησταὶ,χρησταὶ,χρηστός,"1: bruikbaar, nuttig | flink, goed(hartig)",adjective,a-p---fn-,nominative,
47.94.t2,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
47.94.t3,οὐχ,οὐχ,οὐ,1: niet,adverb,d--------,,
47.94.t4,αἱ,αἱ,ὁ,1: ,article,l-p---fn-,nominative,
47.94.t5,τῶν,τῶν,ὁ,1: ,article,l-p---mg-,genitive,
47.94.t6,"φρονίμων,",φρονίμων,φρόνιμος,"1: verstandig, bezonnen",adjective,a-p---mg-,genitive,
47.94.t7,πονηραὶ,πονηραὶ,πονηρός,"1: slecht, boos",adjective,a-p---fn-,nominative,
