ve_ref,value,word_value,lemma,part_of_speech,gloss (eng),parse,tag
11.t29,κοιναῖς,κοιναῖς,κοινός,ADJ,"common, shared in common",DAT.PL F,a-p---fd-
11.t30,ἑορταῖς,ἑορταῖς,ἑορτή,NOUN,a feast,DAT.PL F,n-p---fd-
11.t31,καὶ,καὶ,καί,,"and, also",INDECL,b--------
11.t32,ἐπὶ,ἐπὶ,ἐπί,PREP,"on, upon with gen., dat., and acc.",INDECL,r--------
11.t33,τῶν,τῶν,ὁ,ART,the,GEN.PL M,l-p---mg-
11.t34,δημοσίων,δημοσίων,δημόσιος,ADJ,belonging to the people,GEN.PL M,a-p---mg-
11.t35,βωμῶν,βωμῶν,βωμός,NOUN,"any raised platform, a stand",GEN.PL M,n-p---mg-
11.t36,καὶ,καὶ,καί,,"and, also",INDECL,b--------
11.t37,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
11.t38,ἄλλοι,ἄλλοι,ἄλλος,ADJ,"other, another",NOM.PL M,a-p---mn-
11.t39,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
11.t40,παρατυγχάνοντες,παρατυγχάνοντες,παρατυγχάνω,VERB,"to happen to be near, be among",PRES ACT NOM.PL M PTCP,v-pppamn-
11.t41,ἑώρων,ἑώρων,ὁράω,VERB,to see,IMPRF ACT 3PL IND,v3piia---
11.t42,καὶ,καὶ,καί,,"and, also",INDECL,b--------
11.t43,αὐτὸς,αὐτὸς,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,NOM.SG M,a-s---mn-
11.t44,"Μέλητος,",Μέλητος,Μέλητος,NOUN,Meletus,NOM.SG M,n-s---mn-
11.t45,εἰ,εἰ,εἰ,CONJ,"conj. if, whether; part. w/wishes, adv. w/imperatives",INDECL,c--------
11.t46,ἐβούλετο.,ἐβούλετο,βούλομαι,VERB,"to will, wish, be willing",IMPRF MID 3SG IND,v3siie---
12.t1,καινά,καινά,καινός,ADJ,"new, fresh",ACC.PL N,a-p---na-
12.t2,γε,γε,γε,ADV,"at least, at any rate",INDECL,d--------
12.t3,μὴν,μὴν,μήν,ADV,"now verily, full surely",INDECL,d--------
12.t4,δαιμόνια,δαιμόνια,δαιμόνιον,NOUN,"divine being, spirit",ACC.PL N,n-p---na-
12.t5,πῶς,πῶς,πῶς,ADV,how? in what way,INDECL,d--------
12.t6,ἂν,ἂν,ἄν,ADV,modal particle,INDECL,d--------
12.t7,ἐγὼ,ἐγὼ,ἐγώ,PRONOUN,I (first person pronoun),NOM.SG c,p-s---cn-
12.t8,εἰσφέροιμι,εἰσφέροιμι,εἰσφέρω,VERB,"to bring in, to propose (a question, a law), to pay tax (εἰσφορά)",PRES ACT 1SG OPT,v1spoa---
